S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.2821,0.1001,0.9434,0.1425,0.4496,-0.0025,0.8109,0.3742,-0.5756,0.1915,0.6942,0.3872,0.1611,0.1763,0.966,0.0983,0.649795581,0.173494266,-0.717419319,-0.181590096,42.34675946,33.58636803,24.11068662
0.2827,0.102,0.9431,0.1419,0.4506,-0.0017,0.8107,0.3735,-0.5812,0.1889,0.6931,0.3822,0.1604,0.176,0.9663,0.0974,0.647033528,0.169232354,-0.721702877,-0.178474035,41.64845236,34.29288605,23.83576415
0.2833,0.1039,0.9427,0.1419,0.453,0.0017,0.8104,0.3713,-0.5803,0.1914,0.6931,0.3822,0.1607,0.1763,0.9661,0.0972,0.647033528,0.169232354,-0.721702877,-0.178474035,41.64845236,34.29288605,23.83576415
0.2833,0.1039,0.9427,0.1419,0.453,0.0017,0.8104,0.3713,-0.5803,0.1914,0.6931,0.3822,0.1607,0.1763,0.9661,0.0972,0.647389112,0.168847244,-0.720949093,-0.180583366,41.64845236,34.29288605,23.83576415
0.2838,0.1079,0.942,0.1427,0.4551,0.0051,0.8104,0.3687,-0.5852,0.19,0.6936,0.3745,0.1597,0.1761,0.9663,0.0979,0.64698054,0.160601221,-0.723694403,-0.178577266,41.64845236,34.29288605,23.83576415
0.2831,0.1111,0.9417,0.1434,0.4561,0.0095,0.8113,0.3654,-0.597,0.1856,0.6907,0.363,0.1579,0.1749,0.9668,0.0983,0.64178177,0.149362462,-0.731639217,-0.174674185,39.27687134,36.15951999,23.20413839
0.2842,0.1161,0.9408,0.1432,0.4572,0.0105,0.8114,0.3639,-0.6194,0.1726,0.6825,0.3473,0.1538,0.1732,0.9678,0.0983,0.64178177,0.149362462,-0.731639217,-0.174674185,36.98919872,39.84695459,23.98145643
0.2847,0.1198,0.9402,0.143,0.4597,0.0149,0.8118,0.3594,-0.6245,0.1701,0.6799,0.3444,0.1539,0.1723,0.9679,0.0985,0.629349366,0.135213192,-0.747675744,-0.163149473,36.98919872,39.84695459,23.98145643
0.2847,0.1198,0.9402,0.143,0.4597,0.0149,0.8118,0.3594,-0.6245,0.1701,0.6799,0.3444,0.1539,0.1723,0.9679,0.0985,0.629284657,0.135654866,-0.747476485,-0.163943536,36.98919872,39.84695459,23.98145643
0.285,0.1257,0.9395,0.1419,0.4618,0.0186,0.8122,0.3557,-0.6311,0.168,0.6784,0.3364,0.1503,0.171,0.9687,0.0985,0.631833916,0.137358936,-0.745060312,-0.163717917,36.98919872,39.84695459,23.98145643
0.286,0.1307,0.9387,0.1405,0.4656,0.0237,0.8126,0.3495,-0.6461,0.1606,0.6696,0.3289,0.1483,0.1701,0.9691,0.0985,0.612942011,0.119088946,-0.765732096,-0.154189072,35.26778162,42.55566792,24.06314109
0.2873,0.1401,0.9375,0.1373,0.4674,0.0272,0.8134,0.345,-0.6636,0.1499,0.6595,0.3195,0.1463,0.1691,0.9696,0.0987,0.614449825,0.120082167,-0.764323896,-0.154404233,33.64693503,45.08094023,24.60739596
0.2887,0.1444,0.9367,0.1356,0.4718,0.0326,0.8134,0.3384,-0.664,0.1471,0.6624,0.314,0.1441,0.1684,0.97,0.0992,0.614449825,0.120082167,-0.764323896,-0.154404233,33.64693503,45.08094023,24.60739596
0.2887,0.1444,0.9367,0.1356,0.4718,0.0326,0.8134,0.3384,-0.664,0.1471,0.6624,0.314,0.1441,0.1684,0.97,0.0992,0.602835915,0.105867481,-0.777907287,-0.142271531,33.64693503,45.08094023,24.60739596
0.2875,0.1536,0.9361,0.1314,0.4703,0.0385,0.8176,0.3296,-0.6637,0.1392,0.6696,0.3027,0.1434,0.1683,0.97,0.0997,0.608067312,0.095217204,-0.777033425,-0.131935152,33.64693503,45.08094023,24.60739596
0.285,0.1634,0.936,0.1255,0.4589,0.0479,0.8303,0.3123,-0.6662,0.132,0.6721,0.2947,0.1422,0.1681,0.9702,0.1004,0.609218552,0.087695406,-0.778338607,-0.123900298,30.07018857,44.64244093,23.77108377
0.2809,0.1786,0.9359,0.1141,0.4418,0.0502,0.8422,0.3046,-0.669,0.1211,0.6774,0.2807,0.1395,0.1679,0.9705,0.1015,0.613003023,0.074455399,-0.778711573,-0.110869171,26.34045116,44.68484799,23.20570138
0.2778,0.187,0.936,0.1074,0.4077,0.0537,0.864,0.2905,-0.6677,0.1156,0.6821,0.2744,0.1382,0.1679,0.9707,0.1018,0.613003023,0.074455399,-0.778711573,-0.110869171,26.34045116,44.68484799,23.20570138
0.2778,0.187,0.936,0.1074,0.4077,0.0537,0.864,0.2905,-0.6677,0.1156,0.6821,0.2744,0.1382,0.1679,0.9707,0.1018,0.617288345,0.068851468,-0.776840764,-0.103600204,26.34045116,44.68484799,23.20570138
0.273,0.1963,0.9365,0.0991,0.3881,0.0562,0.8753,0.2825,-0.6686,0.1067,0.6866,0.2647,0.1367,0.1677,0.9708,0.1026,0.620302834,0.05982488,-0.776499751,-0.093239025,26.34045116,44.68484799,23.20570138
0.27,0.201,0.9367,0.0953,0.3601,0.0612,0.8908,0.2699,-0.6717,0.1027,0.6855,0.2611,0.1355,0.1675,0.971,0.103,0.618800284,0.056505093,-0.778387366,-0.089479,23.67287517,44.50513145,23.0139689
0.2664,0.2074,0.9368,0.0906,0.3477,0.069,0.8984,0.259,-0.6756,0.098,0.6831,0.2589,0.1334,0.1671,0.9713,0.104,0.616778764,0.054470693,-0.780541894,-0.085855997,23.076725,45.36864793,23.54090032
0.2664,0.2074,0.9368,0.0906,0.3477,0.069,0.8984,0.259,-0.6756,0.098,0.6831,0.2589,0.1334,0.1671,0.9713,0.104,0.616778764,0.054470693,-0.780541894,-0.085855997,23.076725,45.36864793,23.54090032
0.2648,0.212,0.9365,0.0878,0.3346,0.0846,0.9074,0.2397,-0.6764,0.0945,0.684,0.2559,0.1315,0.1669,0.9714,0.1047,0.618205408,0.051661054,-0.780005309,-0.082127508,23.076725,45.36864793,23.54090032
0.2633,0.2184,0.9357,0.0856,0.3264,0.0953,0.9119,0.2292,-0.6778,0.0886,0.6848,0.2523,0.1305,0.1669,0.9715,0.1055,0.618328815,0.048183218,-0.780728759,-0.07622636,23.076725,45.36864793,23.54090032
