6.4375,-9.5,13.4375
19.625,-12.625,11.375
31.125,-13,11.6875
39.4375,-12.9375,10.4375
38.6875,-10.625,10.75
19.875,1.3125,11.75
358.6875,-3.0625,19.125
334.6875,-12.1875,20.5
283.25,-19.625,15.375
252.25,-17.6875,8.25
231.125,-13,3.5
210.875,-8.125,-0.5
191.4375,-8.0625,-2.6875
177.9375,-4.3125,-6.375
168.5625,2.8125,-9.4375
154.375,8.25,-11.25
139.0625,15.875,-10.6875
128.5625,18.4375,-7.3125
120.9375,18.125,-6.6875
116.625,15.625,-8.4375
116.0625,14.875,-9.4375
123.1875,11.9375,-10.0625
141.625,7,-10.1875
162.75,1.125,-6.4375
181.75,-3.1875,-2.875
212.0625,-8.3125,3.625
244.5,-9.4375,8.625
277.375,-9.125,9.875
300.375,-9.0625,12.6875
319.875,-8.1875,12.5
342.8125,-8.75,9.625
0.6875,-8,6
20.25,-8.5625,1.625
32.3125,-8.6875,0.875
42.1875,-5.625,0.875
41.5625,-1.5625,2.5
16.75,1.9375,7.875
353.5,0.875,13.4375
323.0625,-6.625,19
277.8125,-17,18.3125
247.125,-17.1875,10
232.75,-15.9375,5.8125
220.9375,-14.3125,2.4375
211.375,-12.5625,-0.5
203.875,-9.75,-3
191.8125,-2.6875,-5.8125
178.4375,2.375,-7.5625
164.5,8.3125,-14.8125
156.0625,13.0625,-16.9375
155.75,15.25,-19.4375
172.625,9.5,-16
186.75,9.625,-16.75
195.75,2.625,-14.25
201.625,1.4375,-13.8125
202.25,5.875,-13.1875
208.0625,4.3125,-10.875
215.0625,4.25,-6.5
203.625,3.625,-6.1875
206.125,-0.25,-3.625
209.875,-0.4375,-4.25
214.9375,1.25,-4.1875
220.3125,-1.625,-2.5625
225.5625,-6.5,0.375
234.25,-9.4375,2.0625
254.8125,-10,4.625
283.9375,-10.25,5.75
314.875,-8.1875,5.4375
341.875,-10.4375,5.375
8.5625,-10.0625,5.8125
31.3125,-5.9375,4.625
29.75,-3.8125,3.125
14.4375,-2.8125,4.1875
347.125,-4.5,10.6875
311.75,-10.9375,15.6875
248.125,-17.75,9.6875
215.625,-16.3125,4.5625
196,-11.5,1.5
187.375,-6.375,-2.6875
193.375,-2.1875,-5
225.5625,-9.8125,-0.5625
262.4375,-13.0625,26.875
288.9375,-24.1875,13.5
288.625,-14.75,30.25
297.5,-29.5,35.3125
315.5625,-7.625,31.0625
1.875,14.9375,13.25
17.5625,9.8125,16.875
9.25,9.6875,-14.125
347.75,-1.8125,33.3125
263.25,-49.5,51.9375
244.75,-53.6875,73.4375
277.6875,-37.5625,61.5625
320.625,16.125,30.9375
344.6875,31.5625,8.375
346.8125,6.5,36.6875
326.3125,-5.4375,49.6875
257.875,-25.75,72.875
280.3125,3.3125,64.5
311,-17.5,54.4375
304.8125,-47.1875,62.8125
278.25,-16.125,72.75
333.75,22.25,29.75
332.6875,-17.6875,55.8125
303.8125,-31.6875,78.6875
312.4375,24.875,63.75
352.9375,21.6875,33.25
345,-16.6875,56.125
347.25,9.9375,62.0625
351.3125,27.6875,31.9375
35.3125,19.1875,-4.625
49.6875,0,-17.625
51.0625,24.0625,-68.4375
35.6875,44,-64.75
7.25,24.9375,35.9375
349.5,-15.9375,75.1875
310.8125,-35.9375,104.375
354.4375,18.5625,46.375
17.375,29.5,-7.9375
17.125,25.9375,3.3125
343.875,-19,33.5
272.375,-54.5,11.125
251.8125,-74.0625,41.875
309.3125,1.875,46.75
5.9375,10.3125,8.9375
7.1875,-7.9375,37.875
313.25,-45.375,55.75
345.4375,1.9375,43.9375
353.125,41.5,6.75
9.5,41.25,-5.9375
321.25,-4.6875,68
297.75,-37.375,91.25
332.6875,2.1875,57.25
351.3125,32.8125,-1.9375
355.75,29.0625,-14.3125
345.125,9.9375,32.3125
344.5625,-19.6875,68.5625
338.25,-30.875,76.5625
349.5,-7.25,44.875
349.1875,30.4375,31.4375
352.6875,31.75,43.125
0.5,-10.5625,71.3125
11.625,-8,61.5625
2.9375,10.375,22.25
346,32.25,24.6875
297.375,-5.375,75
244.3125,-47.875,111.25
266.125,-30.4375,110.9375
327.875,16.6875,78.3125
330.5,18.0625,80.1875
313.5625,3.125,100.25
346.25,23.625,45.5625
339.4375,12.5625,36.25
334.125,-8.1875,28.1875
269.75,-55.125,6.3125
246.5625,-64.375,-61.375
236.5625,-67.25,-92.3125
293.625,-32.75,40.875
320,-23.375,42
