S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
0.1245,-0.0273,0.8909,0.4359,-0.1555,-0.1298,0.6851,0.6996,-0.3193,0.0539,-0.7663,-0.5548,44.783048314,91.55007118,-8.180570678
0.1231,-0.0299,0.89,0.4378,-0.1622,-0.134,0.6828,0.6996,-0.3174,0.0571,-0.7656,-0.5565,44.7766860384,91.4550668608,-7.494330256
0.1209,-0.0307,0.8898,0.4387,-0.1672,-0.1353,0.681,0.6998,-0.316,0.0568,-0.7656,-0.5573,44.1317739912,91.7811639432,-7.6430477188
0.1171,-0.0324,0.8895,0.4403,-0.1715,-0.1376,0.6799,0.6994,-0.3117,0.0565,-0.7659,-0.5593,43.60442728,91.9932142328,-7.9605920208
0.1103,-0.0365,0.8889,0.4429,-0.1833,-0.1432,0.6753,0.6998,-0.3033,0.0573,-0.7656,-0.5642,43.362883306,92.0634812332,-7.5062340924
0.1072,-0.038,0.8884,0.4446,-0.1862,-0.1447,0.6744,0.6995,-0.3002,0.058,-0.7655,-0.5661,42.4472999652,92.5261361596,-7.9999809332
0.1055,-0.0392,0.8887,0.4443,-0.1888,-0.1481,0.6732,0.6993,-0.2984,0.057,-0.7672,-0.5648,41.6339352428,93.0199393784,-7.370216264
0.1004,-0.044,0.888,0.4465,-0.1986,-0.1566,0.668,0.6998,-0.2931,0.0581,-0.7666,-0.5682,41.6472610864,92.936473544,-7.1789437732
0.0971,-0.0456,0.8875,0.4481,-0.2003,-0.159,0.6669,0.6998,-0.2907,0.0579,-0.7666,-0.5695,39.8685395696,93.660538752,-7.2595675888
0.0955,-0.0468,0.8877,0.4478,-0.2019,-0.1638,0.6651,0.7,-0.2897,0.0559,-0.768,-0.5682,39.236458813,94.061771487,-6.423389335
0.0856,-0.0553,0.8881,0.4481,-0.2086,-0.1894,0.6542,0.7017,-0.2784,0.0336,-0.7742,-0.5673,39.167976165,94.0053111176,-6.5443269738
0.0803,-0.0603,0.888,0.4487,-0.212,-0.2015,0.6506,0.7007,-0.2659,0.0073,-0.7825,-0.5628,33.345306713,95.6902082988,-3.9976976754
0.0778,-0.0674,0.8864,0.4511,-0.2184,-0.2385,0.6344,0.702,-0.2405,-0.0697,-0.8071,-0.5346,25.4302102208,96.4746343232,0.3252434368
0.0779,-0.07,0.8818,0.4596,-0.2191,-0.2548,0.6221,0.707,-0.2283,-0.1069,-0.8134,-0.524,25.8182182632,96.0153961806,-1.024080603
0.0753,-0.0734,0.8787,0.4653,-0.2189,-0.2667,0.6154,0.7086,-0.215,-0.139,-0.817,-0.5165,21.381404682,95.151877359,4.497157269
0.075,-0.0747,0.8787,0.4654,-0.2188,-0.2686,0.615,0.7082,-0.2117,-0.1439,-0.8175,-0.5157,20.9529860728,94.5217234428,4.5764980796
0.0746,-0.0761,0.8784,0.4656,-0.2178,-0.2692,0.6155,0.7079,-0.2075,-0.1491,-0.8185,-0.5145,20.4478479286,94.5621246422,3.676594946
0.0765,-0.0767,0.8784,0.4654,-0.2182,-0.2639,0.6177,0.7078,-0.2081,-0.1495,-0.8198,-0.5119,19.710839281,94.4641024802,3.7411423968
0.0784,-0.0761,0.8782,0.4655,-0.2169,-0.2574,0.6197,0.7089,-0.2099,-0.1467,-0.8192,-0.513,20.1424443136,94.685492992,3.4716327936
0.0841,-0.0722,0.8778,0.466,-0.2133,-0.2366,0.6275,0.7103,-0.2136,-0.1318,-0.8183,-0.5169,20.8092225206,94.463629613,3.5200987832
0.0938,-0.063,0.8798,0.4615,-0.2011,-0.1984,0.6478,0.7073,-0.2299,-0.0728,-0.809,-0.5359,24.3827369634,94.9556478634,1.5338545652
0.0959,-0.0613,0.8811,0.459,-0.1974,-0.1892,0.6539,0.7053,-0.2397,-0.0413,-0.8024,-0.5447,30.8968319236,95.2867333288,-2.9368822456
0.0964,-0.0604,0.8822,0.4568,-0.1929,-0.1784,0.6607,0.703,-0.254,0.006,-0.7858,-0.5637,30.5354347624,95.6023161346,-2.0083274122
0.0971,-0.0602,0.8826,0.4559,-0.1911,-0.1735,0.6646,0.7011,-0.26,0.0308,-0.7775,-0.5717,33.6176449568,95.3319776346,-5.273412475
0.0988,-0.0599,0.8849,0.4511,-0.1907,-0.1664,0.6701,0.6976,-0.2743,0.069,-0.7667,-0.5761,35.3259241024,95.42761438,-6.008304304
0.0969,-0.0596,0.8843,0.4527,-0.1933,-0.1663,0.6688,0.6982,-0.2791,0.0741,-0.7614,-0.5802,35.3121252086,95.6275429216,-5.1930693156
