S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3215,0.1436,0.8665,0.3535,-0.2033,0.3807,0.7955,0.4252,39.5745244416,75.2359204368,50.3165300212
-0.3194,0.1408,0.869,0.3505,-0.1922,0.3816,0.7901,0.4393,38.9710120986,74.5299533648,49.66297985
-0.3194,0.1408,0.869,0.3505,-0.1922,0.3816,0.7901,0.4393,39.5102437252,74.3703158714,49.761450844
-0.3186,0.1393,0.8696,0.3502,-0.1809,0.3825,0.7835,0.4549,38.707643526,74.354577552,49.89923489
-0.317,0.139,0.8695,0.3522,-0.1665,0.3836,0.7769,0.4705,38.4297589234,73.699192915,49.9851463988
-0.317,0.139,0.8695,0.3522,-0.1665,0.3836,0.7769,0.4705,38.6099634,73.7484812718,49.9697191186
-0.3156,0.1389,0.87,0.3522,-0.1608,0.384,0.7729,0.4787,38.283508647,73.2601958232,50.4712194404
-0.3159,0.1389,0.8698,0.3523,-0.1605,0.3826,0.7732,0.4794,38.251744154,73.1327129858,50.5333128994
-0.3165,0.1391,0.8698,0.3517,-0.1639,0.3817,0.7745,0.4768,38.2896839844,73.1493554132,50.4099016044
-0.3159,0.1405,0.8692,0.3534,-0.1688,0.3817,0.7755,0.4736,38.39835187,73.447866726,50.3879502244
-0.3148,0.1422,0.8689,0.3544,-0.1756,0.3779,0.7791,0.4682,38.5678505616,73.031775418,51.0834026986
-0.3148,0.1422,0.8689,0.3544,-0.1756,0.3779,0.7791,0.4682,38.5297225852,73.2100996352,50.8470388432
-0.3125,0.1452,0.867,0.3597,-0.1773,0.3773,0.7806,0.4655,39.0428885684,72.9917741216,51.7604348768
-0.3111,0.1466,0.8665,0.3615,-0.1813,0.3821,0.7816,0.4584,39.2761914228,72.4285407132,52.5166354002
-0.3103,0.1487,0.8654,0.364,-0.183,0.3846,0.7843,0.4509,39.093032453,72.7294010414,52.1366780704
-0.3103,0.1487,0.8654,0.364,-0.183,0.3846,0.7843,0.4509,40.031802649,72.4197181154,53.2844570664
-0.3087,0.1514,0.864,0.3677,-0.1765,0.3885,0.7921,0.4362,40.097291544,72.5877285006,53.6555154346
-0.3049,0.1531,0.8629,0.3726,-0.163,0.3983,0.7953,0.4268,39.921344001,72.8678432898,53.352402888
-0.302,0.1535,0.863,0.3744,-0.1597,0.4039,0.8004,0.4129,40.2231681186,72.699766849,54.4577300576
-0.2994,0.1538,0.8627,0.3771,-0.1712,0.4063,0.8016,0.4035,40.2434552458,72.821525133,54.6493234324
-0.2994,0.1538,0.8627,0.3771,-0.1712,0.4063,0.8016,0.4035,40.404409842,73.1011270068,54.4934262248
-0.2953,0.1549,0.8622,0.3811,-0.1669,0.4022,0.7852,0.44,40.4513164848,73.4732348048,55.1970833746
-0.2922,0.1558,0.8619,0.3838,-0.1575,0.4046,0.775,0.459,40.7775484184,73.5881475414,54.2098242446
-0.2922,0.1558,0.8619,0.3838,-0.1575,0.4046,0.775,0.459,40.943077914,73.7854943378,54.0263547734
-0.2896,0.1557,0.8616,0.3865,-0.1672,0.3883,0.7733,0.4724,41.3452674804,73.3120355582,53.6029401594
-0.2864,0.1554,0.8618,0.3885,-0.1661,0.3758,0.7655,0.495,41.4048972506,72.781743323,53.5027776346
-0.2852,0.1539,0.8629,0.3875,-0.1582,0.3636,0.7556,0.5213,41.6391071408,72.9342809136,53.3488269524
-0.2852,0.1539,0.8629,0.3875,-0.1582,0.3636,0.7556,0.5213,41.5009895342,73.2288478872,52.9401051854
-0.2863,0.152,0.8635,0.3861,-0.1626,0.3559,0.757,0.5232,41.5863171804,73.6008996044,52.3188625268
-0.2862,0.1512,0.8645,0.3842,-0.1624,0.352,0.7579,0.5245,41.8290864698,73.4470466556,52.8013006198
-0.2877,0.1527,0.8635,0.3849,-0.1571,0.3562,0.757,0.5246,41.7601716312,73.6803801864,52.5502914212
-0.2877,0.1527,0.8635,0.3849,-0.1571,0.3562,0.757,0.5246,41.8537527168,73.306191024,53.1099771072
-0.2885,0.1536,0.8627,0.3856,-0.1536,0.3638,0.7587,0.5179,41.7134142832,73.5705430448,53.2470514496
-0.2902,0.1553,0.8625,0.3842,-0.1478,0.3882,0.7753,0.4755,41.8122973384,73.1790127936,53.7311220504
-0.2902,0.1553,0.8625,0.3842,-0.1478,0.3882,0.7753,0.4755,41.4672694584,73.779822515,52.994335115
-0.2954,0.1567,0.8613,0.3824,-0.1489,0.3999,0.7816,0.4548,41.3601119016,73.8597277412,53.038292554
-0.299,0.1568,0.8615,0.3792,-0.1681,0.389,0.8093,0.4064,41.0059058792,74.0378844484,53.271097786
-0.301,0.1551,0.8619,0.3773,-0.1674,0.3917,0.8002,0.4219,40.392278864,73.2743072712,52.9872297688
-0.3028,0.1519,0.8633,0.3739,-0.1789,0.3917,0.7871,0.4415,40.6243123764,72.9763596544,52.8333035076
-0.3039,0.148,0.8653,0.3699,-0.1829,0.393,0.7775,0.4555,39.8981892556,72.679806182,52.132663752
-0.3039,0.148,0.8653,0.3699,-0.1829,0.393,0.7775,0.4555,39.5010923608,71.8400052232,51.3375517258
-0.304,0.1463,0.8652,0.3706,-0.1738,0.396,0.7694,0.4699,39.9230031192,71.5897242644,51.499506838
-0.3032,0.1433,0.8665,0.3697,-0.1633,0.3987,0.7617,0.4838,39.4178857404,71.2391533648,51.66489913
-0.3032,0.1433,0.8665,0.3697,-0.1633,0.3987,0.7617,0.4838,38.5765536872,70.9708927804,51.3349665972
-0.3022,0.1423,0.8671,0.3694,-0.1591,0.3982,0.7593,0.4891,39.000445454,70.958479792,51.186867984
-0.3012,0.1412,0.8675,0.3697,-0.149,0.3996,0.7534,0.5003,38.2051505544,70.562094662,51.3348020092
-0.3012,0.1412,0.8675,0.3697,-0.149,0.3996,0.7534,0.5003,38.4098913384,70.1354606952,51.592252332
-0.3007,0.142,0.8671,0.3707,-0.1431,0.3998,0.7495,0.5078,38.4940243792,70.3466300488,51.502216076
-0.3002,0.1419,0.8676,0.3699,-0.1444,0.3979,0.7507,0.5071,38.558766074,70.5506091696,51.4757421844
-0.3007,0.1433,0.8671,0.3703,-0.1476,0.3968,0.7522,0.5048,38.6329332934,70.4830531208,51.7548215264
-0.3007,0.1448,0.867,0.3698,-0.1635,0.3935,0.7609,0.4891,38.579158252,70.4745565996,51.8439934832
-0.3007,0.1448,0.867,0.3698,-0.1635,0.3935,0.7609,0.4891,39.215977331,71.0397522012,51.9913432054
-0.3001,0.146,0.8664,0.3712,-0.1703,0.3931,0.7637,0.4828,39.7052172594,70.7019000042,52.5700653658
-0.2985,0.1495,0.865,0.3743,-0.182,0.3963,0.7706,0.4645,39.3425835138,70.7877151686,52.674524002
-0.2994,0.1535,0.8626,0.3776,-0.1874,0.3989,0.7844,0.4363,40.6466806472,70.9941395624,53.696389436
-0.2994,0.1535,0.8626,0.3776,-0.1874,0.3989,0.7844,0.4363,40.8077039784,72.5176484354,54.0488618116
-0.2998,0.154,0.8619,0.3787,-0.1867,0.4069,0.7943,0.4106,40.3080093524,72.4494416368,54.117508596
-0.2957,0.1543,0.8618,0.3819,-0.1936,0.4084,0.7976,0.3994,40.3254989728,72.595097683,54.2062685792
-0.2957,0.1543,0.8618,0.3819,-0.1936,0.4084,0.7976,0.3994,40.6579989964,73.6747461744,54.5103934224
-0.2946,0.1544,0.8623,0.3815,-0.1977,0.4091,0.7835,0.4238,40.6661749422,73.7806395782,54.1075781268
-0.2916,0.1541,0.8623,0.3841,-0.1894,0.4125,0.7758,0.438,40.7331817686,73.7362146012,53.4817696774
-0.29,0.1525,0.8632,0.3838,-0.1977,0.4059,0.7786,0.4355,41.6239872668,73.7219361444,52.098699184
-0.2894,0.1467,0.8648,0.3831,-0.2056,0.3984,0.7685,0.4564,41.5921825524,73.674685301,52.1832937606
-0.2894,0.1467,0.8648,0.3831,-0.2056,0.3984,0.7685,0.4564,42.024388654,73.7812272568,51.0658216608
-0.2896,0.1444,0.8654,0.3822,-0.2083,0.393,0.7648,0.4658,41.7418042888,74.2242873824,50.6202099624
-0.2901,0.1409,0.8662,0.3815,-0.2105,0.3835,0.7645,0.4733,42.0302555652,74.0500814728,50.7959116444
-0.2901,0.1409,0.8662,0.3815,-0.2105,0.3835,0.7645,0.4733,41.6655965154,74.4578287468,50.5703777578
-0.2913,0.1408,0.8662,0.3806,-0.2088,0.3779,0.7659,0.4763,41.8510989766,74.6977581354,50.6010128272
-0.2904,0.1421,0.8661,0.381,-0.2064,0.3798,0.7662,0.4752,41.8222790834,74.622780641,50.7935486048
-0.2904,0.1421,0.8661,0.381,-0.2064,0.3798,0.7662,0.4752,41.9639358122,74.1894200036,51.4816842586
-0.2919,0.1466,0.8641,0.3826,-0.1923,0.3834,0.7785,0.458,41.559256259,74.4141835362,52.0171040734
-0.2944,0.1527,0.8617,0.3838,-0.1793,0.393,0.782,0.4492,41.4469067816,74.4982506992,51.467619708
-0.2955,0.1543,0.8613,0.3833,-0.1703,0.3989,0.7839,0.4441,41.2952600382,74.2995643434,52.561798051
-0.2991,0.1557,0.8608,0.381,-0.1821,0.3929,0.8074,0.4006,41.0068459372,74.5127423956,52.7552139912
-0.2991,0.1557,0.8608,0.381,-0.1821,0.3929,0.8074,0.4006,40.8190073836,74.44238721,52.5007817032
-0.3013,0.1527,0.8627,0.3761,-0.178,0.3945,0.7977,0.4196,40.2071092648,74.0681536464,52.351021636
-0.3028,0.1513,0.8633,0.374,-0.182,0.4038,0.7799,0.4421,40.3295493742,71.991838779,51.9897003748
-0.3046,0.1519,0.8633,0.3724,-0.1824,0.4064,0.7761,0.4461,40.593550472,71.533603784,52.043134352
-0.3046,0.1519,0.8633,0.3724,-0.1824,0.4064,0.7761,0.4461,41.0656341196,70.8169752396,51.5437542676
-0.3052,0.1526,0.8626,0.3733,-0.1708,0.4151,0.7636,0.4641,40.4449536434,70.0761859706,51.4957478284
-0.3047,0.1495,0.8637,0.3723,-0.1643,0.4139,0.7601,0.473,40.4012494092,70.1675745744,51.2026117452
-0.3047,0.1495,0.8637,0.3723,-0.1643,0.4139,0.7601,0.473,39.2868788322,70.1115111504,51.1158206202
