S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.353,0.0122,0.8736,0.3345,-0.2824,0.3533,0.7842,0.4247,35.365792659,82.8057309144,54.3944451282
-0.3519,0.012,0.8737,0.3356,-0.2793,0.3545,0.7806,0.4322,35.194852454,82.7144839284,54.5479159852
-0.3525,0.0119,0.873,0.3366,-0.2788,0.3521,0.7803,0.435,35.1803120732,82.561195772,54.623408123
-0.354,0.0115,0.8722,0.3371,-0.2785,0.3496,0.7805,0.4368,35.3210029232,82.743351054,54.3798614608
-0.3585,0.0093,0.871,0.3355,-0.2801,0.3314,0.7997,0.4147,34.8440004832,82.5870849552,54.6720074336
-0.3587,0.0079,0.8712,0.335,-0.2678,0.3326,0.7978,0.4255,34.4249215672,82.5418661152,54.6323029112
-0.3577,0.0076,0.871,0.3364,-0.2611,0.3395,0.7842,0.4487,34.5990480918,82.8683314518,54.2733492608
-0.3594,0.0103,0.8696,0.3381,-0.261,0.3554,0.7706,0.46,35.0484267194,80.9659361386,54.1079992764
-0.3605,0.0105,0.8695,0.3372,-0.2631,0.3593,0.7729,0.4518,36.2856268152,81.3718429722,53.3819591416
-0.3607,0.0096,0.8701,0.3355,-0.2676,0.3597,0.7772,0.4414,35.5005020208,81.4532219224,53.3065315516
-0.3591,0.0079,0.8706,0.3361,-0.2988,0.3496,0.7929,0.3996,35.5155087504,82.9515574264,52.3355252304
-0.3592,0.0075,0.8704,0.3363,-0.3013,0.348,0.7878,0.409,34.8961959908,83.5727149132,53.119313432
-0.359,0.0065,0.8707,0.3357,-0.3048,0.3449,0.7883,0.4082,35.1395107558,83.2738867466,53.621051934
-0.3557,0.0057,0.8704,0.3402,-0.2989,0.3439,0.785,0.4194,34.9140474654,83.3881674822,53.092936728
-0.3545,0.0054,0.8704,0.3414,-0.2918,0.3479,0.7803,0.4298,34.3896475468,83.037307109,54.0667144654
-0.3534,0.005,0.871,0.3411,-0.2913,0.3457,0.78,0.4324,34.8989015286,83.0928695978,53.7806498456
-0.3552,0.0047,0.8703,0.3408,-0.2919,0.3451,0.7803,0.432,34.7771016504,82.893175306,53.651473226
-0.3554,0.0049,0.8699,0.3417,-0.2901,0.346,0.7807,0.4319,34.8778766008,82.9553653808,53.4341942628
-0.3551,0.0046,0.8701,0.3416,-0.2906,0.3442,0.7827,0.4293,35.054491832,83.102951128,53.5488351824
-0.3578,0.005,0.8699,0.3392,-0.2885,0.3345,0.791,0.4232,34.7778284664,82.792160432,53.9576947704
-0.3594,0.005,0.8694,0.3388,-0.2903,0.327,0.8015,0.4078,34.600384934,83.2970741624,53.8613289348
-0.3587,0.005,0.8695,0.3394,-0.2891,0.3245,0.8054,0.4027,34.5899857476,83.5885596072,53.6069632
-0.3603,0.0053,0.8696,0.3373,-0.2743,0.3331,0.7962,0.4238,34.8026125894,82.6785048888,53.771547263
