S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.1677,0.1489,0.9473,0.2284,0.274,0.1199,0.9111,0.2833,-0.7553,-0.1036,0.613,0.2069,0.0266,0.0424,0.9755,0.2139,0.617863016,0.041448617,-0.784172176,-0.040016284,21.00576041,59.26023239,45.84415311
0.1674,0.1466,0.9479,0.2277,0.2781,0.1179,0.9085,0.2884,-0.7546,-0.1036,0.6132,0.2086,0.0273,0.0426,0.9755,0.2139,0.617907074,0.043016833,-0.784057512,-0.039927669,21.69304959,58.98771089,46.36859815
0.1679,0.1416,0.9488,0.2269,0.2892,0.1069,0.8981,0.3133,-0.7534,-0.1021,0.6141,0.2114,0.03,0.0433,0.9755,0.2133,0.617210646,0.045680419,-0.784407334,-0.040858926,21.69304959,58.98771089,46.36859815
0.1716,0.1284,0.9497,0.2282,0.3062,0.0869,0.8796,0.3532,-0.7477,-0.0932,0.6192,0.2207,0.0336,0.0447,0.9755,0.2122,0.617210646,0.045680419,-0.784407334,-0.040858926,21.69304959,58.98771089,46.36859815
0.1762,0.1155,0.9495,0.2322,0.345,0.0574,0.8422,0.4101,-0.7393,-0.0762,0.6264,0.2348,0.0422,0.0486,0.9756,0.2095,0.621693119,0.053618267,-0.779979025,-0.047491767,23.49782118,56.83108669,45.72752845
0.1762,0.1155,0.9495,0.2322,0.345,0.0574,0.8422,0.4101,-0.7393,-0.0762,0.6264,0.2348,0.0422,0.0486,0.9756,0.2095,0.625496189,0.065135271,-0.775183773,-0.060016932,23.49782118,56.83108669,45.72752845
0.1891,0.0932,0.9464,0.2446,0.3696,0.0551,0.8251,0.4235,-0.7221,-0.0405,0.6367,0.2673,0.0469,0.0515,0.9758,0.2067,0.640697134,0.093952383,-0.756749624,-0.089499382,29.81768359,51.61135329,43.70674066
0.1906,0.0805,0.9455,0.2512,0.3749,0.0569,0.8239,0.421,-0.7137,-0.0184,0.6375,0.2894,0.0516,0.0562,0.9762,0.2027,0.640697134,0.093952383,-0.756749624,-0.089499382,29.81768359,51.61135329,43.70674066
0.1903,0.0626,0.9439,0.2624,0.3721,0.0531,0.8228,0.4262,-0.7117,0.0055,0.629,0.3125,0.0513,0.0585,0.9765,0.2009,0.643211629,0.114145392,-0.749700515,-0.105824229,29.81768359,51.61135329,43.70674066
0.1886,0.051,0.9424,0.2712,0.359,0.0377,0.8181,0.4475,-0.7156,0.0142,0.6196,0.3217,0.0497,0.0605,0.9768,0.1994,0.64302406,0.113727381,-0.75032134,-0.102975857,36.73018727,50.83326211,44.182674
