S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0711,-0.1033,0.9328,0.3377,-0.2869,-0.1057,0.7758,0.5518,0.2733,0.5752,0.6151,0.4646,33.0693851474,98.4400248352,7.7229277398
-0.0697,-0.1026,0.9326,0.3388,-0.2847,-0.1036,0.7758,0.5533,0.2752,0.5746,0.6137,0.4661,32.533664047,98.1349444544,8.3500244578
-0.0695,-0.1025,0.9325,0.3389,-0.285,-0.1033,0.7755,0.5535,0.2752,0.5745,0.6137,0.4662,32.741993572,98.119342817,8.095794798
-0.0689,-0.1027,0.9325,0.3391,-0.2852,-0.0988,0.7738,0.5569,0.275,0.5744,0.6141,0.4661,32.8451574326,98.2880099566,7.8042203046
-0.0649,-0.1022,0.933,0.3387,-0.2908,-0.0839,0.7739,0.5562,0.2745,0.5706,0.6178,0.466,33.5710180516,98.1191589396,7.2665781052
-0.0664,-0.0996,0.9335,0.3377,-0.2929,-0.0745,0.7774,0.5515,0.2724,0.5681,0.6237,0.4624,37.175407386,97.99044147,4.001048322
-0.065,-0.0983,0.9345,0.3355,-0.2929,-0.0625,0.7849,0.5423,0.2669,0.567,0.6359,0.4502,36.9190660792,98.2090150682,3.8004041042
-0.0644,-0.0981,0.936,0.3316,-0.3075,-0.0507,0.7901,0.5277,0.2692,0.5632,0.6463,0.4386,41.4772725032,97.4983785588,-0.4353731574
-0.0659,-0.0985,0.9362,0.3308,-0.3128,-0.0484,0.7915,0.5227,0.2733,0.5576,0.6447,0.4457,42.892012096,97.1665006,-4.2922123456
-0.0652,-0.099,0.9367,0.3294,-0.3167,-0.0465,0.794,0.5167,0.2768,0.5516,0.6437,0.4523,42.2557822744,97.2288745236,-4.11793454
-0.0654,-0.0997,0.9378,0.326,-0.3247,-0.0421,0.7943,0.5116,0.2858,0.5404,0.6425,0.4619,43.5220586854,96.6495917136,-5.928497759
-0.066,-0.099,0.9378,0.3259,-0.3255,-0.0404,0.7944,0.511,0.288,0.5376,0.6407,0.4661,43.7993742896,95.8619605844,-7.7797717936
-0.0654,-0.0988,0.9379,0.3258,-0.3237,-0.039,0.7952,0.511,0.2899,0.5363,0.6408,0.4664,43.676458846,95.781438144,-7.765446346
-0.0676,-0.0979,0.9378,0.3259,-0.32,-0.0432,0.7918,0.5184,0.2905,0.5375,0.6434,0.4609,44.3342511028,95.5581930624,-7.79249591
-0.0711,-0.0969,0.9364,0.3294,-0.3164,-0.0521,0.7882,0.525,0.286,0.5435,0.643,0.4573,43.2835817764,96.291049522,-5.8149393648
-0.0731,-0.0963,0.9354,0.3319,-0.3062,-0.063,0.7867,0.5322,0.2691,0.5603,0.6416,0.4493,43.3176619426,96.4602205268,-5.18599606
-0.0742,-0.0966,0.9351,0.3327,-0.2996,-0.0686,0.786,0.5362,0.2555,0.5731,0.6442,0.4371,38.6483994666,98.2419628788,-0.613424725
-0.0731,-0.0977,0.9346,0.3338,-0.2893,-0.0817,0.7811,0.547,0.2574,0.5851,0.6311,0.4393,34.7889581988,98.6442530636,3.471638312
-0.0718,-0.0985,0.9342,0.335,-0.2825,-0.0883,0.7782,0.5537,0.2683,0.5818,0.6204,0.4521,35.5355986344,98.5716270012,3.9018693124
-0.0687,-0.0991,0.9338,0.3367,-0.2794,-0.091,0.7775,0.5558,0.2748,0.5797,0.6148,0.4586,32.7034446212,98.2161904984,7.604274834
-0.066,-0.0991,0.9337,0.3375,-0.2766,-0.0926,0.7767,0.5581,0.2827,0.5759,0.6125,0.4615,32.615696827,97.948396363,7.828903128
-0.0658,-0.099,0.9334,0.3383,-0.2767,-0.0921,0.7758,0.5594,0.285,0.5739,0.6121,0.4632,33.0042400946,98.1016673334,7.3124407146
-0.063,-0.0997,0.9337,0.338,-0.2764,-0.0863,0.7739,0.5632,0.2881,0.5685,0.6142,0.4652,32.996650252,97.8931150016,7.4170707894
-0.0618,-0.0977,0.9343,0.3371,-0.2826,-0.0704,0.7762,0.559,0.2855,0.5644,0.6261,0.4558,34.9196369996,97.9300155376,5.773733318
-0.0605,-0.096,0.9349,0.3359,-0.2846,-0.0625,0.7807,0.5527,0.2822,0.5662,0.6336,0.4452,34.995454928,97.9994273892,5.5965690446
-0.0584,-0.0953,0.9356,0.3348,-0.2849,-0.0584,0.7827,0.5502,0.2826,0.5671,0.6426,0.4307,39.45367503,97.548906088,2.164984309
-0.056,-0.0949,0.9358,0.3347,-0.2865,-0.0521,0.7856,0.5458,0.2875,0.5634,0.6451,0.4285,41.7048273202,97.37021667,0.2709172014
-0.0562,-0.0943,0.9364,0.3333,-0.2863,-0.0501,0.7872,0.5438,0.2885,0.5626,0.6452,0.4287,42.4725631794,97.254113641,-1.524505108
-0.0647,-0.0928,0.9349,0.336,-0.2833,-0.065,0.7829,0.5499,0.2781,0.5728,0.6421,0.4266,41.3845391108,97.312048412,-0.8622319068
-0.0656,-0.0937,0.9348,0.3361,-0.2794,-0.0732,0.7816,0.5527,0.2737,0.5761,0.6406,0.4275,41.0475774828,97.30988499,-0.3222910532
-0.0656,-0.0946,0.9345,0.3368,-0.2789,-0.0794,0.7799,0.5546,0.2725,0.5784,0.6326,0.4369,38.9469698518,97.6680298996,2.6556123458
-0.0661,-0.0964,0.9339,0.3377,-0.2786,-0.0876,0.7774,0.557,0.2756,0.5769,0.6257,0.4467,35.3906923872,98.0151566784,5.389150544
-0.0651,-0.0988,0.9334,0.3385,-0.2756,-0.0972,0.7755,0.5594,0.285,0.5753,0.6135,0.4595,36.1763030094,97.8474865036,5.762520137
-0.0646,-0.0994,0.933,0.3395,-0.2765,-0.0992,0.7747,0.5598,0.2863,0.5747,0.6124,0.4611,32.9746489206,97.8249710992,7.5327128114
-0.0642,-0.1001,0.9328,0.3399,-0.2774,-0.101,0.7745,0.5592,0.2868,0.5742,0.6119,0.462,32.5705079642,97.8206980162,8.099327894
-0.0634,-0.1003,0.9332,0.3391,-0.2779,-0.0964,0.7739,0.5607,0.2867,0.5742,0.6123,0.4617,33.26232328,97.8391245168,7.8369406128
-0.0615,-0.1003,0.9335,0.3386,-0.2784,-0.0913,0.7722,0.5637,0.2874,0.5724,0.6135,0.4617,33.2601505824,97.8794820048,7.2250304392
-0.0605,-0.0989,0.9339,0.338,-0.2826,-0.0822,0.7728,0.5621,0.2885,0.5695,0.615,0.4627,35.6291448158,97.8762197196,6.0593789602
-0.0592,-0.0951,0.9355,0.335,-0.2819,-0.0631,0.7815,0.5529,0.2823,0.5667,0.63,0.4495,35.1888344562,97.880908027,5.7472700708
-0.0582,-0.0942,0.936,0.3338,-0.2821,-0.058,0.7841,0.5495,0.2777,0.5692,0.6382,0.4376,40.6845585004,97.2844932436,2.804925676
-0.0592,-0.0931,0.936,0.334,-0.2871,-0.0527,0.7852,0.5459,0.278,0.5709,0.6417,0.4299,42.7644054948,96.9915134352,-0.1121440108
-0.0594,-0.0932,0.9362,0.3334,-0.2952,-0.0485,0.7874,0.5388,0.2835,0.5646,0.641,0.4357,41.7906468798,97.0482353208,-0.1807414984
-0.0585,-0.0938,0.9366,0.3323,-0.299,-0.0474,0.789,0.5346,0.2875,0.5582,0.6405,0.442,43.7096378866,96.5625459294,-1.9045239774
-0.0601,-0.0946,0.937,0.3307,-0.3073,-0.0457,0.7898,0.5287,0.2889,0.554,0.64,0.447,44.063052255,96.1236649232,-4.8177609284
-0.0614,-0.0962,0.937,0.33,-0.3172,-0.0438,0.7906,0.5218,0.2945,0.5404,0.6372,0.4637,43.8291509598,96.0659592906,-4.6401923256
-0.0603,-0.0972,0.937,0.3297,-0.319,-0.0435,0.7914,0.5195,0.2958,0.5345,0.6373,0.4694,44.3300801724,95.4928145428,-6.4331379728
-0.0605,-0.0983,0.9372,0.3288,-0.32,-0.0431,0.7925,0.5173,0.297,0.5321,0.6384,0.47,44.4496284294,95.2572605874,-7.5818426244
-0.0631,-0.0983,0.9372,0.3284,-0.3193,-0.0452,0.791,0.5197,0.2954,0.5344,0.6419,0.4635,44.6627926656,95.2296110528,-7.4323711552
-0.0663,-0.0992,0.936,0.331,-0.3201,-0.0523,0.7877,0.5237,0.2847,0.545,0.6423,0.4573,44.4183994768,95.1532522872,-7.8811688456
-0.0678,-0.0997,0.9351,0.3329,-0.3174,-0.0664,0.7844,0.5285,0.273,0.5551,0.6415,0.4535,41.172113868,96.8738075806,-4.6844316702
-0.0716,-0.0989,0.9348,0.3334,-0.3023,-0.0811,0.7826,0.538,0.2581,0.5754,0.6412,0.437,41.745759759,96.9731824974,-4.3142638704
-0.068,-0.1004,0.9344,0.3347,-0.2975,-0.0883,0.7813,0.5414,0.2552,0.585,0.6344,0.4359,38.5155601284,97.8826718324,-0.2848710228
-0.0683,-0.1013,0.9338,0.3361,-0.2916,-0.0967,0.7783,0.5474,0.2586,0.5852,0.6267,0.4447,35.025296934,98.4690444444,4.491204782
-0.0651,-0.103,0.9332,0.3377,-0.283,-0.1079,0.7742,0.5557,0.2745,0.5809,0.6119,0.4611,35.8706090576,98.3598915104,4.4416120148
-0.0656,-0.1028,0.9326,0.3396,-0.2835,-0.1096,0.7725,0.5573,0.2778,0.5793,0.609,0.4649,33.2347452128,98.100147908,7.9463066872
-0.0651,-0.1027,0.9326,0.3397,-0.2826,-0.1105,0.7728,0.5572,0.2792,0.5784,0.6083,0.4661,32.887871006,97.832727132,8.63843089
