S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5161,0.1424,0.78,0.3236,-0.3397,0.2837,0.7036,0.5558,-9.879781325,86.1875974932,57.4868652934
-0.5177,0.1403,0.7818,0.3176,-0.343,0.2734,0.7218,0.5351,-9.1622140584,89.6997269984,56.3839396068
-0.5216,0.1348,0.7846,0.3068,-0.346,0.2703,0.7324,0.5202,-8.6410468724,89.3416153508,57.2466776154
-0.5208,0.1345,0.785,0.3068,-0.3415,0.2711,0.7338,0.5208,-8.3202719688,93.0979387476,53.424433276
-0.5159,0.1392,0.7866,0.3089,-0.3358,0.2749,0.7373,0.5175,-7.3756185324,90.5257298986,56.7988928482
-0.5151,0.1431,0.7852,0.3122,-0.3347,0.2833,0.7297,0.5245,-7.8418471308,91.0060242624,56.676285656
-0.5155,0.1464,0.7826,0.3165,-0.3341,0.2904,0.7205,0.5336,-6.9472271416,86.8615499728,59.5930649944
-0.5106,0.1539,0.7816,0.3233,-0.3284,0.3043,0.7003,0.5558,-7.2313155696,83.362978075,61.7978740514
-0.5099,0.1569,0.7797,0.3276,-0.3281,0.3099,0.6898,0.5659,-7.794009,83.90270395,60.94319245
-0.5077,0.1586,0.7793,0.331,-0.3245,0.3126,0.6841,0.5734,-7.3446053448,81.235301876,62.8542113504
-0.5061,0.1605,0.7802,0.3305,-0.3171,0.3146,0.6824,0.5783,-7.7362330932,80.4182657792,63.7970178932
-0.5104,0.1589,0.7796,0.3261,-0.3187,0.3162,0.6863,0.5721,-8.0199029176,80.4357833368,63.0458231216
-0.5127,0.1586,0.7785,0.3253,-0.3211,0.3168,0.6895,0.5665,-7.0609631752,83.2892266472,61.8567631536
-0.5153,0.1544,0.7814,0.316,-0.3291,0.3081,0.7091,0.5421,-6.3683266738,86.710945284,60.1916681514
-0.5194,0.1485,0.783,0.3081,-0.3297,0.2988,0.7268,0.523,-6.051985212,85.7905467008,61.2615297824
-0.5203,0.147,0.7823,0.3091,-0.3238,0.2963,0.7259,0.5293,-6.4534160192,92.8562698952,55.33829606
-0.5151,0.1468,0.7851,0.3107,-0.3244,0.2557,0.764,0.4954,-6.6174598008,95.4841139454,52.464033789
-0.5144,0.1482,0.7854,0.3105,-0.3242,0.2515,0.7743,0.4815,-5.7296540144,95.2853301564,53.736906766
-0.5155,0.1498,0.7837,0.3122,-0.3209,0.2751,0.7633,0.4884,-5.2069646608,97.4374388464,50.9194758688
-0.5156,0.153,0.7802,0.319,-0.3082,0.2888,0.7545,0.5021,-4.8130352258,97.9031928902,50.1500265428
-0.508,0.1567,0.7811,0.3273,-0.2839,0.3105,0.7302,0.5382,-3.8709356744,98.369057744,49.0287143496
-0.5065,0.1583,0.78,0.3313,-0.2681,0.327,0.7083,0.5652,-5.2676643744,98.0150857856,50.2948564352
-0.5067,0.1593,0.7775,0.3364,-0.2667,0.3312,0.6991,0.5747,-5.5664732236,98.7542515256,48.296568834
-0.5015,0.1596,0.7781,0.3424,-0.2667,0.3295,0.6973,0.5779,-4.0178130112,99.1359334368,46.6505473488
-0.5017,0.159,0.7782,0.3424,-0.2663,0.3319,0.6948,0.5797,-5.2995557264,98.1894092298,47.7061136862
-0.5021,0.1583,0.7783,0.3421,-0.2862,0.3102,0.7135,0.5591,-5.1793339276,96.2684095024,50.2608515212
-0.5024,0.1604,0.7775,0.3425,-0.3148,0.2543,0.7652,0.5005,-5.2261401364,97.0228388862,50.766659918
-0.502,0.1606,0.7781,0.3413,-0.307,0.2625,0.7606,0.5081,-4.725454865,94.4665087662,52.9528405598
-0.5031,0.159,0.779,0.3385,-0.3039,0.262,0.7597,0.5116,-4.4311942294,95.802579297,51.169130332
-0.5012,0.1553,0.7813,0.3378,-0.2828,0.2828,0.7539,0.5211,-4.674944888,96.5774211312,51.5341784464
-0.5017,0.1547,0.7811,0.3377,-0.2719,0.3049,0.7365,0.539,-4.336103948,97.1887950048,49.0648089456
-0.5031,0.1534,0.7811,0.3363,-0.2693,0.3145,0.7271,0.5475,-4.0024748832,98.032683344,48.1245910216
-0.5021,0.151,0.7818,0.3372,-0.2595,0.3346,0.6986,0.5767,-3.9770087536,97.9996131512,48.8963898056
-0.5016,0.1503,0.7824,0.3369,-0.2514,0.332,0.6983,0.582,-4.3511425056,98.301423216,47.0452057952
-0.5025,0.1498,0.7816,0.3377,-0.2536,0.3326,0.6979,0.5811,-4.363711659,99.221898603,45.143316702
-0.5024,0.1506,0.7802,0.3407,-0.2718,0.3227,0.718,0.5534,-3.8699260144,99.215368795,45.7131877442
-0.5015,0.1504,0.7803,0.3416,-0.2749,0.3204,0.722,0.548,-4.1294037936,99.874434386,43.7720398188
-0.502,0.1502,0.7798,0.3423,-0.2762,0.3212,0.72,0.5495,-4.2396898518,99.9914180374,44.308213162
-0.5042,0.1481,0.7788,0.3422,-0.28,0.3326,0.6981,0.5688,-3.58933956,100.130790139,43.6105957864
-0.5038,0.1466,0.7791,0.3427,-0.3038,0.2924,0.7327,0.5339,-5.13604284,99.4955671272,46.4846602476
-0.5,0.1462,0.7798,0.347,-0.3021,0.2968,0.7308,0.5352,-5.8102636498,99.8972934482,45.9526478896
-0.5,0.1462,0.7798,0.347,-0.3021,0.2968,0.7308,0.5352,-5.2449828248,99.7652408436,45.1068775412
-0.5006,0.145,0.7796,0.3471,-0.286,0.3059,0.7225,0.5501,-4.8662564344,101.560706764,40.783535963
-0.5037,0.1448,0.7781,0.3459,-0.2969,0.2941,0.7438,0.5214,-4.103804074,101.435517422,39.0279085772
-0.5027,0.1454,0.7778,0.3479,-0.3001,0.2852,0.7525,0.512,-3.7780728384,101.470793183,38.9124636268
-0.5028,0.1451,0.7772,0.3491,-0.3026,0.2885,0.7465,0.5176,-4.5497053584,101.415616693,38.6789473518
-0.5013,0.1449,0.7763,0.3535,-0.3036,0.2898,0.7424,0.522,-5.550062616,101.794992773,38.5997922816
-0.4996,0.1435,0.7774,0.3541,-0.3044,0.2812,0.7471,0.5196,-4.5554845608,101.884985476,37.7181669752
-0.5014,0.1424,0.7772,0.3524,-0.3056,0.2898,0.7316,0.5358,-5.399441388,102.326407258,37.6208566952
-0.5014,0.1424,0.7772,0.3524,-0.3056,0.2898,0.7316,0.5358,-4.895133193,102.669936143,38.7307574612
-0.5069,0.1383,0.7799,0.34,-0.3261,0.2943,0.7139,0.5452,-5.4031911592,102.740966925,39.1397883906
-0.5102,0.1347,0.7803,0.3353,-0.3673,0.2146,0.777,0.4637,-5.9657697466,102.991840866,39.262928141
-0.5093,0.1334,0.7822,0.3328,-0.3685,0.2123,0.7814,0.4564,-6.2783757516,103.414355496,39.5135641762
-0.5093,0.1334,0.7822,0.3328,-0.3685,0.2123,0.7814,0.4564,-5.9818831146,103.856240816,39.7778407474
-0.5098,0.1342,0.7817,0.3329,-0.338,0.2806,0.7249,0.5305,-5.6063853004,105.594198515,35.1225092572
-0.5037,0.1423,0.779,0.3449,-0.3359,0.2365,0.77,0.4879,-3.368181046,104.480480246,33.3265888552
-0.5043,0.1426,0.7808,0.3399,-0.3234,0.2785,0.7406,0.519,-3.673782703,104.604190005,32.9332581034
-0.5068,0.1423,0.7807,0.3365,-0.3185,0.2986,0.7225,0.5358,-3.235197775,105.673577355,34.2666205706
-0.5076,0.1416,0.7814,0.3338,-0.3353,0.2824,0.7155,0.5438,-3.751514962,105.478702878,37.1138834936
-0.5077,0.1413,0.7836,0.3286,-0.3527,0.2529,0.7432,0.509,-4.0768806388,105.729929154,37.226890956
-0.5114,0.1477,0.7813,0.3258,-0.3883,0.168,0.8153,0.3953,-2.9105666716,103.907774816,41.7120231856
-0.5108,0.1532,0.7819,0.3225,-0.3734,0.2084,0.7933,0.4332,-3.101148103,102.6936956,44.106429868
-0.5108,0.1532,0.7819,0.3225,-0.3734,0.2084,0.7933,0.4332,-3.6131132672,103.272647852,42.8031209114
-0.5131,0.1541,0.7823,0.3176,-0.3687,0.2299,0.7904,0.4317,-3.2112321288,102.049835902,43.8368301726
-0.5149,0.1567,0.7825,0.3126,-0.3664,0.2521,0.7777,0.444,-2.2886447324,100.786042652,45.2621935448
-0.5154,0.1617,0.7809,0.3135,-0.3699,0.2562,0.7744,0.4445,-3.1907553708,101.065174329,45.4879738566
-0.5154,0.1617,0.7809,0.3135,-0.3699,0.2562,0.7744,0.4445,-1.310344374,99.510226581,47.5691403654
-0.517,0.1696,0.7764,0.3178,-0.3795,0.2733,0.7613,0.449,-1.2635828768,99.6650713536,47.28999842
-0.5163,0.1741,0.7737,0.323,-0.3807,0.2781,0.7618,0.4441,-1.2400753536,99.6958104576,47.2615778976
-0.5163,0.1741,0.7737,0.323,-0.3807,0.2781,0.7618,0.4441,-0.9769339792,98.849935088,48.4709270436
-0.5177,0.179,0.7695,0.3281,-0.3797,0.2876,0.7578,0.4458,-0.00423177740005,98.1746817144,48.546083649
-0.5188,0.1804,0.7685,0.328,-0.3812,0.2917,0.7557,0.4452,-0.2441223716,98.4529439308,48.915385374
-0.5156,0.1975,0.7614,0.3396,-0.38,0.3041,0.7478,0.4514,1.081954085,96.906348395,50.185919325
-0.5156,0.1975,0.7614,0.3396,-0.38,0.3041,0.7478,0.4514,2.7309519188,97.5266253676,50.1976562728
