S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
0.044,0.1166,0.8839,0.4506,0.2451,0.1284,0.6365,0.7198,-0.420889865,76.647248543,66.701124397
0.0451,0.117,0.8809,0.4562,0.2457,0.136,0.6435,0.712,1.399303599,75.723290156,68.167488058
0.0501,0.1171,0.8781,0.4611,0.2536,0.1447,0.6382,0.7122,2.221449075,75.7366200672,67.0452192174
0.0501,0.1171,0.8781,0.4611,0.2536,0.1447,0.6382,0.7122,2.3348225224,76.7028228292,66.3951592208
0.0515,0.1135,0.8721,0.473,0.2579,0.1516,0.6204,0.7248,3.3266965476,75.2735789944,67.488047844
0.0552,0.1118,0.87,0.4768,0.2628,0.1378,0.5691,0.7667,3.5186551256,75.6558225836,66.2055437452
0.0551,0.1105,0.8679,0.481,0.2642,0.1324,0.5437,0.7854,3.9089652464,76.4886458962,65.3143063328
0.0551,0.1105,0.8679,0.481,0.2642,0.1324,0.5437,0.7854,4.6287402858,75.850753464,65.5557733574
0.0586,0.1098,0.8646,0.4866,0.2738,0.1163,0.4749,0.8281,4.9223361072,76.189087846,63.7459904668
0.0604,0.1076,0.8634,0.4891,0.2725,0.1181,0.4693,0.8315,4.9614439888,76.5851608954,63.0812372078
0.063,0.1065,0.8619,0.4915,0.2706,0.1355,0.4897,0.8176,5.445401258,76.45781445,62.035356198
0.063,0.1065,0.8619,0.4915,0.2706,0.1355,0.4897,0.8176,6.0937046656,76.6875970698,60.9657601182
0.065,0.1046,0.8601,0.4949,0.2765,0.1433,0.5032,0.8059,6.0822421536,77.0027085052,60.1645224444
0.065,0.103,0.8595,0.4962,0.277,0.1458,0.5105,0.8008,6.5573488608,76.6154877896,59.6548094868
0.065,0.103,0.8595,0.4962,0.277,0.1458,0.5105,0.8008,6.799672948,76.485294605,59.0003397616
0.0686,0.1011,0.8574,0.4997,0.2804,0.1515,0.5231,0.7904,6.9187480824,76.8415791324,58.088538146
0.0692,0.0986,0.8562,0.5022,0.2894,0.1623,0.5229,0.785,7.2955048316,76.2521886324,57.941672604
0.0706,0.0949,0.8549,0.505,0.2932,0.1655,0.5262,0.7808,7.413976992,76.2692027536,56.9753725728
0.0717,0.093,0.8544,0.5061,0.2941,0.1661,0.5247,0.7813,7.686561885,76.5899610042,56.0606587544
0.0731,0.0921,0.8543,0.5062,0.2948,0.1661,0.5194,0.7846,7.832108555,76.2155245782,56.0640065224
0.0741,0.0916,0.8542,0.5062,0.2947,0.1656,0.5166,0.7865,8.2603168328,76.3626551128,55.2314442508
0.0741,0.0916,0.8555,0.504,0.291,0.1646,0.514,0.7899,8.1471100088,76.3735103694,54.8069128298
0.0708,0.0903,0.8554,0.5049,0.2814,0.158,0.5373,0.7791,8.2415700336,76.6081322586,54.5032374924
0.0708,0.0903,0.8554,0.5049,0.2814,0.158,0.5373,0.7791,7.104155418,76.9651543686,55.6584060642
0.0726,0.0942,0.858,0.4996,0.2792,0.1398,0.524,0.7923,7.293938957,76.819878407,56.715703227
0.0703,0.0993,0.8643,0.4879,0.2786,0.1165,0.4879,0.8189,5.983793408,77.281015354,57.8436690732
0.0703,0.0993,0.8643,0.4879,0.2786,0.1165,0.4879,0.8189,4.4498422376,78.1421295562,58.9179456274
0.0686,0.0993,0.8666,0.4841,0.2772,0.0953,0.488,0.822,4.6839893192,77.192603488,60.7651351216
0.0627,0.1016,0.8698,0.4785,0.2708,0.1071,0.5701,0.7681,3.210088082,78.324904948,60.836193676
0.0576,0.1061,0.8786,0.4619,0.2846,0.157,0.6569,0.6802,1.8960924198,79.0632387954,61.7875155744
0.0576,0.1061,0.8786,0.4619,0.2846,0.157,0.6569,0.6802,1.6024226554,77.5966991428,63.9642759184
0.0502,0.1099,0.8854,0.4486,0.2915,0.1536,0.6526,0.6821,0.5345307262,78.9261834724,62.7546845592
0.0451,0.1133,0.8888,0.4415,0.2836,0.1439,0.6475,0.6924,0.2608862844,78.2803817492,64.486332826
0.0413,0.1152,0.8892,0.4406,0.2813,0.1403,0.6444,0.697,-0.3436669592,77.1535381204,65.5259676784
0.0377,0.1204,0.8916,0.4346,0.2794,0.1416,0.6405,0.701,0.0984022288001,77.7172342168,64.8282064718
0.0377,0.1204,0.8916,0.4346,0.2794,0.1416,0.6405,0.701,-0.372084184,77.3346790336,64.7142639264
0.0358,0.1244,0.8931,0.4308,0.2772,0.1439,0.6466,0.6959,-1.1678140226,76.638278426,65.3853630982
0.0358,0.1244,0.8931,0.4308,0.2772,0.1439,0.6466,0.6959,-0.9283406432,77.150465622,64.6575840424
0.0353,0.1287,0.8941,0.4275,0.2767,0.1445,0.6492,0.6934,-1.2278168636,76.851817576,64.5828162388
0.0354,0.1329,0.8949,0.4244,0.2761,0.1456,0.6516,0.6913,-1.6632541218,76.3500848234,64.8422755152
0.0354,0.1329,0.8949,0.4244,0.2761,0.1456,0.6516,0.6913,-1.34873751,76.823687992,64.3522389864
0.0358,0.1348,0.8952,0.4231,0.2753,0.1468,0.6526,0.6904,-1.743358189,77.0861900954,63.716663378
0.0351,0.137,0.8972,0.4182,0.2744,0.1484,0.6552,0.6879,-1.7395735372,76.668493774,64.2178186052
0.0352,0.1347,0.8987,0.4157,0.2735,0.1462,0.655,0.689,-2.12541336,76.7677311622,63.7767735342
0.0397,0.1326,0.8995,0.4141,0.2727,0.1442,0.6549,0.6898,-2.4571435696,76.5886071888,64.2440920912
0.0397,0.1326,0.8995,0.4141,0.2727,0.1442,0.6549,0.6898,-1.6091292528,76.8343321806,64.4318463456
0.0419,0.1277,0.9007,0.4129,0.2691,0.1425,0.6536,0.6928,-1.848886152,76.733033633,64.7542250464
0.0469,0.121,0.8978,0.4207,0.272,0.1428,0.6466,0.6982,-0.823115032,76.7702005776,66.4303050464
0.0504,0.1184,0.8941,0.4289,0.2726,0.1423,0.6444,0.7001,0.0437973955999,77.8384372518,65.4741423904
0.0504,0.1184,0.8941,0.4289,0.2726,0.1423,0.6444,0.7001,0.8363203284,76.894626391,67.062459367
0.0591,0.1154,0.888,0.4412,0.2786,0.1589,0.6428,0.6956,3.2274533376,75.4817107712,67.415518816
0.0643,0.1116,0.8789,0.4592,0.2778,0.1632,0.6225,0.7131,3.4060749892,77.2452135346,65.57333515
0.0643,0.1116,0.8789,0.4592,0.2778,0.1632,0.6225,0.7131,4.0774354496,74.4768187248,68.470045272
0.0714,0.1087,0.8742,0.4677,0.2827,0.1618,0.6049,0.7266,3.8141619058,74.2097015,67.3418676922
0.0786,0.1023,0.8679,0.4796,0.2926,0.1341,0.5391,0.7782,4.746709446,75.40902674,65.427338584
0.0827,0.0974,0.8643,0.4862,0.2985,0.1144,0.4863,0.8131,4.4717782168,74.395211515,65.9850203542
0.0853,0.0948,0.8605,0.4931,0.2959,0.0919,0.445,0.8401,5.6252607976,74.5909568274,64.4781560364
0.0853,0.0948,0.8605,0.4931,0.2959,0.0919,0.445,0.8401,5.9282333936,75.1846211478,63.562649975
0.0861,0.0929,0.8585,0.4967,0.3039,0.123,0.4602,0.825,6.8662004208,74.9641162154,62.574626889
0.0858,0.0921,0.858,0.4979,0.3001,0.1295,0.4804,0.8138,7.475489081,75.1215516694,60.564433248
