S8_w,S8_x,S8_y,S8_z,S11_w,S11_x,S11_y,S11_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.2874,0.0951,0.7811,0.5458,-0.3622,0.3121,0.7336,0.4828,-0.3067,0.2516,0.8867,0.237,-0.3129,0.122,0.8866,0.3178,0.988316157,-0.030366587,0.056583437,-0.138229373,25.9560827,-2.616169247,2.114239812
-0.2979,0.1117,0.7708,0.5519,-0.3689,0.314,0.7147,0.5043,-0.3286,0.2327,0.8963,0.1854,-0.307,0.1367,0.882,0.3303,0.987059729,-0.074247044,0.045612502,-0.134610426,18.18100466,-0.873608401,1.833080272
-0.3141,0.1262,0.7578,0.5577,-0.3781,0.3154,0.6943,0.5247,-0.3602,0.2097,0.9033,0.1012,-0.3018,0.1524,0.8791,0.3358,0.976556111,-0.17028535,0.018177584,-0.13042483,7.513230794,0.748082986,0.324729957
-0.3235,0.1411,0.7477,0.5623,-0.3817,0.3176,0.6744,0.5463,-0.3769,0.1958,0.9046,0.0342,-0.2999,0.1674,0.8748,0.3414,0.956473374,-0.259413004,0.003198139,-0.133616427,-0.093445105,0.159394849,-1.27207688
-0.3339,0.1439,0.7533,0.5478,-0.3854,0.3149,0.6595,0.5632,-0.3665,0.1749,0.9125,-0.0459,-0.2944,0.1782,0.8735,0.344,0.920601621,-0.367916376,0.016851947,-0.129792941,-8.840987774,-3.393097089,-1.807377064
-0.3378,0.1506,0.7533,0.5436,-0.3869,0.3111,0.6422,0.5839,-0.3604,0.1582,0.9144,-0.094,-0.2922,0.1838,0.8716,0.3479,0.907446395,-0.400223031,0.021599527,-0.126079445,-13.99009247,-5.203264731,-1.6494319
-0.3384,0.1513,0.7554,0.5402,-0.3884,0.3027,0.6284,0.6021,-0.3479,0.144,0.9178,-0.1256,-0.2885,0.1885,0.8674,0.3587,0.878685117,-0.462261193,0.038350694,-0.112943693,-17.3587614,-7.362752721,-0.895508949
-0.3446,0.1483,0.7604,0.53,-0.3912,0.2962,0.6171,0.6151,-0.3383,0.1306,0.919,-0.1545,-0.2839,0.1882,0.8672,0.363,0.867545008,-0.48351305,0.041341681,-0.108957124,-20.76591393,-8.948952908,-0.15636203
-0.3507,0.1491,0.7644,0.52,-0.3939,0.2929,0.6083,0.6235,-0.3354,0.1185,0.9159,-0.1855,-0.2851,0.1881,0.8675,0.3614,0.845564633,-0.521323575,0.047890462,-0.10463597,-24.38157184,-9.801380569,0.15783163
-0.3555,0.1469,0.7647,0.5169,-0.3909,0.288,0.6024,0.6334,-0.3341,0.1089,0.9132,-0.2059,-0.2853,0.1872,0.8671,0.3626,0.836517336,-0.53577502,0.047882039,-0.104360842,-27.01569122,-10.31335715,0.591073501
-0.3597,0.1443,0.7642,0.5155,-0.3901,0.2862,0.5987,0.6381,-0.3325,0.1029,0.9114,-0.2192,-0.2824,0.1854,0.8682,0.3632,0.824783353,-0.554012953,0.046723958,-0.103048248,-28.23793258,-10.59688886,0.774497175
-0.3617,0.1429,0.7586,0.5227,-0.3991,0.2805,0.6028,0.6313,-0.3342,0.1056,0.9137,-0.2052,-0.2861,0.1824,0.8672,0.3643,0.827117088,-0.550336498,0.047312083,-0.103772001,-26.14970796,-9.9656397,0.655387671
-0.3501,0.1385,0.7468,0.548,-0.4023,0.2799,0.6193,0.6133,-0.3414,0.1279,0.9201,-0.1423,-0.29,0.1787,0.8632,0.3725,0.846996331,-0.51715231,0.049093459,-0.112873982,-18.08415863,-7.657924521,0.034371679
-0.3275,0.1248,0.7435,0.5693,-0.3912,0.2924,0.6544,0.5772,-0.3532,0.158,0.921,-0.0447,-0.2936,0.1699,0.8618,0.377,0.890001273,-0.437546065,0.037397343,-0.122689097,-7.224713518,-4.327875559,0.204419736
-0.3136,0.1152,0.7546,0.5646,-0.3822,0.3056,0.6774,0.549,-0.3548,0.1758,0.9176,0.0349,-0.2985,0.1571,0.8696,0.3602,0.944170661,-0.30347464,0.023213055,-0.126119227,1.585869917,-2.437924826,1.421932692
