S8_w,S8_x,S8_y,S8_z,S11_w,S11_x,S11_y,S11_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.118,-0.0012,0.8063,0.5794,-0.2504,0.0985,0.7133,0.647,-0.083,0.1596,0.9724,-0.1483,-0.0427,0.0994,0.9185,0.3803,0.845730376,-0.524655336,0.045454356,-0.086086064,-15.71043904,-39.30681735,-0.888050762
-0.118,-0.0012,0.8063,0.5794,-0.2504,0.0985,0.7133,0.647,-0.083,0.1596,0.9724,-0.1483,-0.0427,0.0994,0.9185,0.3803,0.856206427,-0.507480512,0.040725124,-0.08783819,-15.71043904,-39.30681735,-0.888050762
-0.1194,-0.0094,0.8062,0.5793,-0.2481,0.1091,0.727,0.6307,-0.0942,0.1554,0.9755,-0.1232,-0.0508,0.095,0.9213,0.3733,0.872480727,-0.478819884,0.032491013,-0.091941466,-12.00182032,-37.21029878,-0.114936722
-0.1171,-0.0149,0.8077,0.5776,-0.2453,0.1181,0.737,0.6185,-0.104,0.1528,0.9782,-0.0938,-0.0559,0.0928,0.9229,0.3692,0.888308832,-0.448912813,0.02382262,-0.093899882,-5.164650527,-33.04849897,1.569055263
-0.1127,-0.0252,0.8122,0.5717,-0.2363,0.1296,0.7532,0.5998,-0.1151,0.1473,0.9815,-0.0404,-0.0635,0.0886,0.9249,0.3642,0.913488479,-0.395695606,0.013096122,-0.093767149,-5.164650527,-33.04849897,1.569055263
-0.1077,-0.0327,0.8224,0.5575,-0.2269,0.1376,0.7676,0.5833,-0.1129,0.144,0.983,-0.0123,-0.0668,0.0853,0.9278,0.3567,0.913488479,-0.395695606,0.013096122,-0.093767149,-5.164650527,-33.04849897,1.569055263
-0.1077,-0.0327,0.8224,0.5575,-0.2269,0.1376,0.7676,0.5833,-0.1129,0.144,0.983,-0.0123,-0.0668,0.0853,0.9278,0.3567,0.927599989,-0.362111942,0.013331711,-0.090859601,2.194634826,-32.141314,3.936630216
-0.0966,-0.0427,0.8325,0.5437,-0.2231,0.142,0.7758,0.5728,-0.1072,0.1393,0.9835,0.04,-0.0697,0.0805,0.9317,0.3471,0.949062423,-0.303078246,0.013805154,-0.085050055,2.194634826,-32.141314,3.936630216
-0.0908,-0.0483,0.8374,0.5368,-0.2178,0.1481,0.7875,0.5571,-0.1022,0.1368,0.9821,0.0789,-0.0755,0.0758,0.9334,0.3425,0.961852679,-0.260156347,0.019629506,-0.082296918,12.19496215,-32.33752238,6.093134844
-0.0838,-0.0567,0.845,0.525,-0.215,0.1511,0.7942,0.5477,-0.0919,0.1347,0.9771,0.1359,-0.081,0.0706,0.9362,0.3345,0.961852679,-0.260156347,0.019629506,-0.082296918,12.19496215,-32.33752238,6.093134844
-0.0822,-0.0628,0.8482,0.5194,-0.2124,0.1539,0.8002,0.5391,-0.0872,0.1329,0.9735,0.1638,-0.0822,0.0684,0.9382,0.329,0.977325281,-0.19521817,0.028575374,-0.076867484,12.19496215,-32.33752238,6.093134844
-0.0822,-0.0628,0.8482,0.5194,-0.2124,0.1539,0.8002,0.5391,-0.0872,0.1329,0.9735,0.1638,-0.0822,0.0684,0.9382,0.329,0.983636312,-0.161669129,0.030735534,-0.073335019,19.8615133,-32.93787042,7.283508343
-0.081,-0.0708,0.8516,0.5128,-0.2091,0.1568,0.809,0.5264,-0.0814,0.1323,0.9675,0.1994,-0.0877,0.0634,0.9412,0.32,0.989988095,-0.115487727,0.037931738,-0.07174496,19.8615133,-32.93787042,7.283508343
-0.0799,-0.0761,0.8538,0.5086,-0.2067,0.1585,0.8143,0.5186,-0.0778,0.132,0.9618,0.2266,-0.0902,0.06,0.9428,0.315,0.990359845,-0.10973086,0.040239532,-0.074345785,27.76353064,-33.31740576,7.951409171
-0.0777,-0.084,0.8568,0.5028,-0.2019,0.1608,0.822,0.5074,-0.07,0.132,0.9514,0.2692,-0.0938,0.0556,0.9459,0.3052,0.990359845,-0.10973086,0.040239532,-0.074345785,27.76353064,-33.31740576,7.951409171
-0.0762,-0.0883,0.859,0.4984,-0.1978,0.1623,0.8276,0.4994,-0.0672,0.1319,0.9454,0.2901,-0.0952,0.0531,0.9476,0.3002,0.996134635,-0.027245238,0.048354012,-0.068083592,27.76353064,-33.31740576,7.951409171
-0.0762,-0.0883,0.859,0.4984,-0.1978,0.1623,0.8276,0.4994,-0.0672,0.1319,0.9454,0.2901,-0.0952,0.0531,0.9476,0.3002,0.996081965,-0.02166801,0.049575563,-0.069953411,33.94392327,-33.48740885,8.228295602
-0.0728,-0.0942,0.8621,0.4924,-0.1929,0.1646,0.8353,0.4876,-0.0631,0.1345,0.9367,0.317,-0.0963,0.0499,0.9511,0.289,0.995374259,0.040599234,0.053246162,-0.068895806,33.94392327,-33.48740885,8.228295602
-0.0724,-0.0977,0.8634,0.4895,-0.1896,0.1652,0.841,0.479,-0.0619,0.1357,0.9294,0.3375,-0.0968,0.0492,0.9531,0.2822,0.993839255,0.069493049,0.052664783,-0.068415442,39.63537187,-32.750968,8.471559958
-0.0717,-0.1024,0.8645,0.4866,-0.1851,0.1654,0.8488,0.4666,-0.0667,0.1361,0.9199,0.3614,-0.0992,0.0455,0.9557,0.2731,0.99281607,0.079382788,0.054747717,-0.070832986,39.63537187,-32.750968,8.471559958
-0.0714,-0.106,0.8651,0.4849,-0.1812,0.1657,0.8536,0.4592,-0.0671,0.1362,0.9149,0.3739,-0.1002,0.0432,0.9577,0.266,0.99281607,0.079382788,0.054747717,-0.070832986,39.63537187,-32.750968,8.471559958
-0.0706,-0.1114,0.8648,0.4844,-0.1757,0.1658,0.8606,0.4481,-0.0661,0.1362,0.9104,0.3848,-0.1004,0.0405,0.9601,0.2578,0.988389105,0.125484984,0.047494023,-0.071307878,43.09081924,-32.14956858,8.933688906
-0.0706,-0.1114,0.8648,0.4844,-0.1757,0.1658,0.8606,0.4481,-0.0661,0.1362,0.9104,0.3848,-0.1004,0.0405,0.9601,0.2578,0.987104343,0.134085861,0.047405757,-0.073475791,43.09081924,-32.14956858,8.933688906
-0.0692,-0.1159,0.8635,0.4857,-0.1737,0.1655,0.8639,0.4427,-0.0636,0.137,0.9027,0.4028,-0.1006,0.0387,0.9617,0.2517,0.981325775,0.171504037,0.048547698,-0.072313277,46.52262865,-32.18496384,9.263075597
-0.0687,-0.1216,0.8622,0.4868,-0.1698,0.1647,0.8682,0.436,-0.0617,0.1354,0.8984,0.413,-0.1011,0.036,0.9632,0.2462,0.978269931,0.188109831,0.049873325,-0.071521222,46.52262865,-32.18496384,9.263075597
-0.068,-0.1247,0.8624,0.4857,-0.1676,0.1638,0.8706,0.4324,-0.0599,0.1337,0.8956,0.4198,-0.101,0.0355,0.9642,0.2424,0.978269931,0.188109831,0.049873325,-0.071521222,46.52262865,-32.18496384,9.263075597
-0.068,-0.1247,0.8624,0.4857,-0.1676,0.1638,0.8706,0.4324,-0.0599,0.1337,0.8956,0.4198,-0.101,0.0355,0.9642,0.2424,0.976241802,0.199085256,0.050213639,-0.069250235,46.89923303,-32.46268453,9.736631077
-0.07,-0.1295,0.8634,0.4824,-0.1667,0.1618,0.8737,0.4273,-0.0596,0.1301,0.8984,0.4151,-0.0993,0.0332,0.9658,0.237,0.976383723,0.198941879,0.048706444,-0.068735996,46.89923303,-32.46268453,9.736631077
-0.0728,-0.1307,0.8637,0.4812,-0.168,0.1604,0.874,0.4266,-0.0627,0.1275,0.9016,0.4085,-0.1,0.0314,0.9667,0.2332,0.977200642,0.195442695,0.046458204,-0.068721854,43.6040172,-32.01188341,10.2573882
-0.0784,-0.1301,0.8644,0.4791,-0.1735,0.1585,0.871,0.4312,-0.0695,0.128,0.9076,0.3935,-0.102,0.0302,0.9664,0.2339,0.977200642,0.195442695,0.046458204,-0.068721854,43.6040172,-32.01188341,10.2573882
-0.0852,-0.1284,0.8656,0.4764,-0.1787,0.1577,0.8666,0.4382,-0.09,0.1218,0.925,0.3483,-0.1007,0.0314,0.9659,0.2363,0.980222171,0.178970369,0.043471367,-0.072417838,43.6040172,-32.01188341,10.2573882
-0.0852,-0.1284,0.8656,0.4764,-0.1787,0.1577,0.8666,0.4382,-0.09,0.1218,0.925,0.3483,-0.1007,0.0314,0.9659,0.2363,0.988747146,0.127297455,0.024063625,-0.074802287,43.6040172,-32.01188341,10.2573882
-0.101,-0.126,0.8684,0.4686,-0.1895,0.1564,0.8581,0.4507,-0.1082,0.1102,0.9452,0.2873,-0.0991,0.0336,0.9647,0.2413,0.995775882,0.056377642,0.006227952,-0.072202271,43.6040172,-32.01188341,10.2573882
-0.1159,-0.1243,0.8735,0.4559,-0.198,0.1557,0.8525,0.4578,-0.1246,0.0955,0.9744,0.1608,-0.0999,0.0347,0.9639,0.244,0.994329771,-0.077550153,-0.005037692,-0.072587209,6.233838284,-28.42155367,11.11025487
-0.1282,-0.1184,0.8787,0.4442,-0.2115,0.156,0.8437,0.4679,-0.1332,0.0957,0.9821,0.0921,-0.1044,0.0367,0.9639,0.2419,0.994723063,-0.075321546,-0.001174594,-0.069651372,6.233838284,-28.42155367,11.11025487
-0.1375,-0.1077,0.8784,0.4448,-0.2183,0.1547,0.8372,0.4768,-0.1373,0.0982,0.9845,0.0458,-0.1052,0.0406,0.9637,0.2417,0.994723063,-0.075321546,-0.001174594,-0.069651372,6.233838284,-28.42155367,11.11025487
-0.1375,-0.1077,0.8784,0.4448,-0.2183,0.1547,0.8372,0.4768,-0.1373,0.0982,0.9845,0.0458,-0.1052,0.0406,0.9637,0.2417,0.994974687,-0.075568882,-0.001016367,-0.06567863,-0.465520126,-28.28648039,9.213431059
-0.1434,-0.1024,0.8757,0.4492,-0.2256,0.1508,0.8247,0.496,-0.1401,0.1005,0.9846,0.0257,-0.1047,0.0468,0.9602,0.2545,0.994125086,-0.089423149,-0.000841987,-0.060976265,-0.465520126,-28.28648039,9.213431059
-0.1491,-0.0901,0.8659,0.4687,-0.2284,0.1461,0.8172,0.5084,-0.14,0.104,0.9845,-0.0153,-0.0996,0.0509,0.958,0.264,0.958415862,-0.271351817,-0.007829573,-0.088010933,-7.306398891,-30.12598109,7.42795156
-0.1505,-0.0848,0.8598,0.4804,-0.2303,0.1428,0.8073,0.5241,-0.1322,0.1052,0.9845,-0.0451,-0.091,0.0558,0.9548,0.277,0.954469384,-0.285711937,-0.014423233,-0.0845509,-7.306398891,-30.12598109,7.42795156
-0.1475,-0.0732,0.8511,0.4984,-0.2336,0.1424,0.7998,0.5342,-0.1281,0.1078,0.9838,-0.0637,-0.0872,0.0591,0.9526,0.285,0.954469384,-0.285711937,-0.014423233,-0.0845509,-7.306398891,-30.12598109,7.42795156
-0.1475,-0.0732,0.8511,0.4984,-0.2336,0.1424,0.7998,0.5342,-0.1281,0.1078,0.9838,-0.0637,-0.0872,0.0591,0.9526,0.285,0.951991035,-0.294412715,-0.016974266,-0.082134624,-8.890715694,-30.77468868,6.337045847
-0.1458,-0.0628,0.8441,0.512,-0.2377,0.1421,0.7908,0.5456,-0.13,0.1114,0.983,-0.0649,-0.0854,0.0657,0.9483,0.2982,0.931425184,-0.353770501,-0.001847744,-0.085382341,-8.890715694,-30.77468868,6.337045847
-0.1464,-0.0455,0.8321,0.5328,-0.2451,0.14,0.7771,0.5623,-0.1347,0.1172,0.981,-0.0747,-0.0843,0.0708,0.9451,0.3076,0.923923716,-0.3720538,-0.003267563,-0.089052006,-10.6561008,-30.56698614,4.935199509
-0.15,-0.0388,0.8284,0.5382,-0.2499,0.1378,0.7677,0.5736,-0.1351,0.1183,0.9797,-0.088,-0.0838,0.0753,0.9406,0.32,0.923923716,-0.3720538,-0.003267563,-0.089052006,-10.6561008,-30.56698614,4.935199509
-0.151,-0.0308,0.8237,0.5454,-0.2539,0.1335,0.7585,0.585,-0.1315,0.1192,0.9777,-0.1116,-0.0819,0.0776,0.9384,0.3263,0.913747029,-0.396610877,-0.000493893,-0.088124543,-10.6561008,-30.56698614,4.935199509
-0.151,-0.0308,0.8237,0.5454,-0.2539,0.1335,0.7585,0.585,-0.1315,0.1192,0.9777,-0.1116,-0.0819,0.0776,0.9384,0.3263,0.901236826,-0.424265465,0.004229894,-0.088051731,-13.67138175,-31.78837797,4.257725629
-0.152,-0.0286,0.8211,0.5492,-0.2561,0.13,0.7528,0.5922,-0.1294,0.12,0.9771,-0.1187,-0.0792,0.0803,0.9353,0.3351,0.897188514,-0.43320103,0.003347873,-0.085897785,-13.67138175,-31.78837797,4.257725629
-0.1481,-0.0232,0.8168,0.5569,-0.2601,0.1257,0.7429,0.6037,-0.1239,0.1209,0.9765,-0.128,-0.0769,0.0827,0.9335,0.34,0.887711383,-0.452519855,0.011125583,-0.084086278,-15.38516109,-33.28061807,4.18952979
-0.1447,-0.0165,0.814,0.5622,-0.2628,0.1237,0.7344,0.6133,-0.1193,0.1209,0.976,-0.1362,-0.0742,0.0852,0.9309,0.3471,0.887711383,-0.452519855,0.011125583,-0.084086278,-15.38516109,-33.28061807,4.18952979
-0.1437,-0.0089,0.8134,0.5635,-0.2651,0.1234,0.7211,0.628,-0.112,0.1217,0.9738,-0.1555,-0.0723,0.0881,0.9285,0.3533,0.884211941,-0.459747716,0.009989168,-0.081862672,-15.38516109,-33.28061807,4.18952979
-0.1437,-0.0089,0.8134,0.5635,-0.2651,0.1234,0.7211,0.628,-0.112,0.1217,0.9738,-0.1555,-0.0723,0.0881,0.9285,0.3533,0.868165811,-0.489556337,0.023112863,-0.078028923,-17.77389478,-34.74889518,3.829636653
-0.1415,-0.0046,0.8109,0.5676,-0.2666,0.1214,0.714,0.6358,-0.1104,0.1225,0.9732,-0.1601,-0.071,0.0921,0.9244,0.363,0.860736978,-0.50280062,0.026259401,-0.075058871,-17.77389478,-34.74889518,3.829636653
-0.1395,-0.0008,0.8092,0.5707,-0.2695,0.118,0.7032,0.6471,-0.1076,0.1252,0.9721,-0.1661,-0.0686,0.095,0.9224,0.3679,0.854950386,-0.512550358,0.029280447,-0.074125726,-18.81005374,-35.60911028,3.202567382
-0.1383,0.002,0.8081,0.5725,-0.2716,0.1162,0.696,0.6543,-0.1054,0.1268,0.9707,-0.1744,-0.066,0.0992,0.9196,0.3743,0.846987914,-0.525844789,0.031904911,-0.071279785,-18.81005374,-35.60911028,3.202567382
-0.1378,0.0071,0.8069,0.5742,-0.2756,0.1136,0.6862,0.6634,-0.1043,0.1286,0.9684,-0.1864,-0.0657,0.1005,0.918,0.3778,0.846987914,-0.525844789,0.031904911,-0.071279785,-18.81005374,-35.60911028,3.202567382
