S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3357,0.1262,0.8717,0.3338,-0.2675,0.3186,0.8042,0.4242,33.9096636012,77.4729187734,56.1159843646
-0.3383,0.1243,0.8728,0.3292,-0.2658,0.3229,0.799,0.4319,33.4924692864,77.2116713272,56.902741828
-0.34,0.1258,0.874,0.3232,-0.2545,0.3301,0.7933,0.4436,33.6321955088,77.8553945936,54.82584628
-0.34,0.1277,0.8737,0.3236,-0.2494,0.3327,0.7909,0.4487,33.2100927184,77.3288475364,54.8470064956
-0.3398,0.1276,0.8744,0.3217,-0.2422,0.3362,0.7878,0.4556,32.8691023884,77.1925512426,55.2811405866
-0.3383,0.1284,0.8756,0.3197,-0.2307,0.3411,0.7822,0.4672,32.8597251732,77.2366394196,54.9289073772
-0.3377,0.1293,0.8757,0.3198,-0.2313,0.3413,0.7821,0.4671,32.3436767324,76.851354932,55.1418421652
-0.3379,0.1301,0.8753,0.3204,-0.2361,0.3419,0.7839,0.4612,32.4664419444,76.7837234684,55.1021707552
-0.3371,0.1338,0.874,0.3231,-0.2535,0.3389,0.7907,0.4421,32.7734931932,76.8363547992,55.1766649628
-0.3361,0.1351,0.8737,0.3243,-0.2625,0.3372,0.7965,0.4275,33.674574624,76.2377161292,55.816439821
-0.3357,0.138,0.8721,0.328,-0.268,0.3348,0.8015,0.4167,34.1372533896,76.3949900708,56.065349632
-0.3306,0.1423,0.87,0.3367,-0.2653,0.3426,0.8045,0.4061,34.8370693744,75.8203405962,57.288554713
-0.3281,0.1438,0.8692,0.3406,-0.2574,0.3503,0.8078,0.398,35.5133729618,74.5756071722,59.2479178056
-0.3258,0.1455,0.8687,0.3433,-0.2668,0.3504,0.8145,0.3775,35.8881267774,75.0281860884,59.3351754398
-0.319,0.1479,0.8685,0.3489,-0.2694,0.3574,0.8037,0.3919,36.0516091956,74.9037672702,60.5125846608
-0.3169,0.1494,0.8677,0.3524,-0.2659,0.3612,0.794,0.41,36.4122443828,74.5769084096,60.4220040636
-0.3153,0.151,0.8668,0.3554,-0.2628,0.3666,0.7883,0.4183,36.8778023696,74.812332774,60.193775509
-0.3129,0.1517,0.8666,0.3574,-0.2656,0.3676,0.7815,0.4283,37.5076224772,74.3446289986,59.9638203556
-0.3118,0.1514,0.867,0.3578,-0.2682,0.3625,0.7786,0.4361,38.1360539544,74.0163478942,59.2080222214
-0.3116,0.1505,0.867,0.3585,-0.2675,0.3598,0.7775,0.4407,38.0805291696,74.0090077422,59.1226215254
-0.3114,0.1489,0.8676,0.3577,-0.2693,0.3555,0.7725,0.4517,38.3626053948,74.2476027926,59.1248610382
-0.3111,0.1484,0.8679,0.3574,-0.2656,0.3539,0.772,0.4561,38.2165612838,74.3780177976,59.1073998542
-0.3112,0.1489,0.8677,0.3576,-0.2651,0.3542,0.7711,0.4576,38.3702334536,74.1327925658,58.9917260536
-0.3115,0.1535,0.8662,0.3591,-0.2611,0.3574,0.7741,0.4525,38.387872605,74.1246364436,59.3326399004
-0.312,0.1558,0.8658,0.3587,-0.2577,0.3606,0.7778,0.4454,38.428889149,73.245091802,59.6834071958
