S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.419,-0.0317,0.8641,0.2767,-0.3351,0.3765,0.786,0.3577,36.6374236284,83.4518031984,52.0219709968
-0.4201,-0.03,0.864,0.2757,-0.3298,0.3714,0.7885,0.3625,36.2759461396,83.4646770332,52.540149094
-0.4205,-0.029,0.8638,0.2756,-0.3253,0.3638,0.7957,0.3587,36.1622837088,83.6259257852,52.2186221016
-0.4199,-0.0287,0.8638,0.2767,-0.3037,0.3753,0.7839,0.3901,35.973718466,82.8283996418,53.5921192602
-0.4202,-0.028,0.8637,0.2764,-0.3018,0.3784,0.7744,0.4074,36.5104530014,81.9043724152,52.8463842154
-0.4204,-0.0269,0.8636,0.2767,-0.2961,0.3853,0.7642,0.424,36.326740733,82.1699326026,52.278143306
-0.4194,-0.0268,0.8641,0.2765,-0.2993,0.3909,0.7598,0.4243,36.663146776,80.8587875724,52.2932331024
-0.4184,-0.028,0.8645,0.2767,-0.3041,0.3934,0.759,0.4201,36.7199017866,80.9584124514,51.4330284372
-0.418,-0.0286,0.8648,0.2766,-0.3084,0.3934,0.7615,0.4123,36.5813729646,80.9464643494,51.4875635236
-0.4176,-0.03,0.8655,0.2748,-0.3066,0.3942,0.7645,0.4073,36.7416566058,81.8212342002,51.2838892076
-0.4174,-0.0326,0.8662,0.2725,-0.3139,0.3881,0.7811,0.3748,36.3477497816,83.2974609044,51.104367204
-0.4163,-0.0333,0.8668,0.2723,-0.3303,0.3831,0.7872,0.3526,36.5234623558,82.7591981064,52.1110236542
-0.4169,-0.0338,0.867,0.2706,-0.3402,0.3786,0.7863,0.3499,35.9948521864,84.226538904,51.6638415314
-0.4167,-0.0336,0.867,0.2708,-0.3405,0.3799,0.7862,0.3485,36.166864447,84.3018616758,51.3066668012
-0.4169,-0.0334,0.8667,0.2714,-0.3407,0.3806,0.7863,0.3472,36.2137268994,84.0852167358,51.8024599612
-0.4166,-0.0332,0.8669,0.2716,-0.3397,0.3809,0.786,0.3486,36.238937838,84.0847571796,51.6128176808
-0.4167,-0.0319,0.867,0.2712,-0.335,0.3746,0.7878,0.3559,36.1985476976,84.0081121968,52.0442993904
-0.4181,-0.0303,0.8663,0.2711,-0.3284,0.3671,0.7941,0.3558,36.1850583764,84.106064496,51.6739706282
-0.4187,-0.03,0.8663,0.2705,-0.3286,0.3572,0.8025,0.3466,35.8530636876,83.968026348,52.8064126528
-0.4187,-0.0304,0.8666,0.2695,-0.302,0.3655,0.7917,0.385,35.6864891356,83.30957696,52.7507688276
-0.4185,-0.0294,0.8666,0.2698,-0.2977,0.3698,0.7849,0.3979,35.7151021756,83.476194433,52.2384841404
-0.4185,-0.0293,0.8666,0.27,-0.2959,0.3726,0.7808,0.4046,35.9929963212,82.486019674,52.4049882352
-0.4174,-0.0296,0.8667,0.2713,-0.3026,0.3791,0.7739,0.4069,36.0665526432,81.9776000476,51.807847234
-0.4171,-0.0305,0.8669,0.2709,-0.3071,0.3806,0.7762,0.3978,36.145253232,82.0485276852,51.7653745392
-0.4167,-0.0314,0.8671,0.2709,-0.3046,0.3825,0.7796,0.391,36.311729164,82.246472448,51.580432732
-0.4159,-0.0349,0.868,0.2689,-0.3197,0.3727,0.7967,0.3522,35.9237969198,84.1867581926,51.0430919108
-0.4151,-0.0354,0.8679,0.2702,-0.3323,0.3709,0.7971,0.3411,36.114089552,83.7052475232,51.9392477696
-0.415,-0.0357,0.8679,0.2702,-0.3343,0.3722,0.7935,0.3461,35.550981528,84.2722925712,51.4231423296
-0.4122,-0.0359,0.8688,0.2716,-0.3316,0.3756,0.7907,0.3518,35.6547130622,84.1931454726,52.1845787468
-0.4116,-0.0343,0.8684,0.2741,-0.3285,0.3786,0.7894,0.3542,35.8433117462,84.15079895,52.2844876618
-0.4115,-0.0335,0.8682,0.2747,-0.3265,0.3815,0.7883,0.3551,36.0597806132,83.486296049,52.6176172578
-0.4107,-0.0328,0.8687,0.2747,-0.3261,0.3831,0.7891,0.3521,36.507768269,83.3441795728,52.6285452914
-0.41,-0.0311,0.8686,0.2764,-0.3217,0.3809,0.792,0.3522,36.2751893532,83.4448393942,52.3774740854
-0.4108,-0.0298,0.8681,0.2769,-0.3201,0.3744,0.7966,0.3502,36.3656403056,82.794081032,52.9599943852
-0.4124,-0.0294,0.8677,0.2755,-0.3087,0.3697,0.7984,0.3612,36.3963065006,82.2353291182,53.763419394
-0.4121,-0.0296,0.8681,0.2747,-0.2968,0.3829,0.7713,0.4125,36.277609624,82.7405600812,53.0035681328
