S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5315,0.1215,0.8135,0.2017,-0.296,0.3538,0.775,0.4317,15.2213814614,94.7994421252,51.331986767
-0.5314,0.1224,0.8135,0.2017,-0.2935,0.3567,0.7717,0.437,15.392299553,95.3101142682,51.2341168414
-0.5311,0.1237,0.8132,0.2028,-0.2929,0.3627,0.763,0.4476,15.1913380176,93.9589219824,53.2357678932
-0.5368,0.1231,0.8107,0.1983,-0.341,0.3348,0.7794,0.405,15.944198086,94.3678227248,54.0014859824
-0.536,0.1247,0.8117,0.1954,-0.3856,0.2606,0.8141,0.3471,15.685120525,92.6004826972,56.5431629806
-0.5369,0.1269,0.8103,0.1975,-0.3795,0.2789,0.8002,0.3709,15.3284339152,90.8189380528,59.3032104144
-0.5376,0.1261,0.8099,0.1972,-0.3779,0.2929,0.7849,0.394,14.908966726,91.048553246,58.631059326
-0.5355,0.1267,0.8109,0.1985,-0.3662,0.3088,0.7742,0.4133,14.563978674,89.9238007314,60.0789349518
-0.535,0.1276,0.811,0.1989,-0.3514,0.3349,0.7517,0.4462,13.9382011532,85.9188531384,63.4689308828
-0.5391,0.1226,0.81,0.1953,-0.3654,0.3264,0.7534,0.4384,14.6766645434,86.4068245108,63.2751791886
-0.5388,0.1177,0.8107,0.1961,-0.3827,0.2935,0.7752,0.4078,14.5558738252,88.8739252896,60.706544254
-0.5396,0.1152,0.8111,0.1936,-0.3944,0.2634,0.8023,0.3623,15.047093415,88.6543659548,61.786373897
-0.5407,0.1129,0.811,0.1924,-0.3899,0.2854,0.7981,0.3597,14.740861669,92.4202227172,57.6112458178
-0.5374,0.1116,0.8126,0.1954,-0.3452,0.3444,0.7659,0.4189,15.1834823848,95.3925245824,53.3806388224
-0.5343,0.1121,0.8143,0.1968,-0.3345,0.3483,0.762,0.4313,15.571843013,95.1414490236,54.7199092602
-0.5335,0.1124,0.8149,0.1964,-0.3248,0.345,0.769,0.4289,15.19664431,95.299509392,53.135520094
-0.5346,0.1127,0.8141,0.1967,-0.3248,0.3452,0.7698,0.4271,15.3501067224,95.4212860968,52.2642537096
