S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.3989,0.2597,0.8004,0.3642,-0.1387,0.3746,0.6939,0.599,-0.74160745,67.865986252,76.8467733964
-0.3948,0.2633,0.797,0.3733,-0.1306,0.3825,0.685,0.606,0.0569161288,66.5304319068,77.0967961634
-0.3885,0.2651,0.7961,0.3806,-0.0951,0.4157,0.6291,0.6497,-0.00790766319997,67.7658381672,75.4184534738
-0.387,0.2642,0.7968,0.3814,-0.0811,0.4203,0.6002,0.6755,0.4257488512,68.8094778248,74.845602682
-0.3863,0.2638,0.7962,0.3836,-0.0754,0.422,0.5729,0.6984,1.3157011244,69.7024173682,72.112918194
-0.3825,0.265,0.7954,0.3881,-0.0762,0.4274,0.5685,0.6987,1.760606983,70.1720612956,71.8129985702
-0.381,0.2632,0.7963,0.3889,-0.0803,0.4321,0.5787,0.6868,2.501500696,70.6711121784,69.8244804388
-0.3807,0.262,0.7963,0.39,-0.0926,0.4302,0.6033,0.6649,3.6508438974,71.8444031218,66.2720201924
-0.3787,0.2617,0.7945,0.3958,-0.1132,0.4177,0.6405,0.6343,3.4324944458,72.238500197,65.9815008452
-0.3769,0.2601,0.7952,0.3972,-0.1129,0.4149,0.6453,0.6313,4.1335558842,72.164830651,64.1022343148
-0.3753,0.2572,0.7969,0.397,-0.1133,0.4137,0.6502,0.6269,3.7706784904,72.2936478016,62.5101635648
-0.3736,0.2534,0.7978,0.3994,-0.1164,0.4099,0.6574,0.6213,4.495556531,72.7361353346,61.7209155882
-0.3734,0.2524,0.7975,0.401,-0.1171,0.4089,0.6578,0.6215,3.937448096,72.501643838,61.279075504
-0.3735,0.2514,0.7985,0.3994,-0.1185,0.4086,0.6578,0.6213,4.4350578432,72.771173376,60.3751649928
-0.3751,0.2525,0.7967,0.4008,-0.1168,0.4102,0.6561,0.6225,4.674331934,72.6987443838,60.3031883906
-0.3762,0.2532,0.7963,0.4002,-0.1165,0.4115,0.6541,0.6237,4.711746178,72.6086714726,60.7976429762
-0.379,0.2548,0.7954,0.3981,-0.1132,0.4151,0.6416,0.6349,4.6422841724,73.1322444984,61.9225269816
-0.3861,0.2606,0.7947,0.3889,-0.0998,0.4193,0.6125,0.6625,3.649323574,72.755694034,62.8993882004
-0.3903,0.2631,0.7946,0.3833,-0.0953,0.4134,0.6052,0.6735,3.7643995118,73.0985009618,64.178026314
-0.3937,0.2635,0.7954,0.3779,-0.0902,0.4103,0.5929,0.6869,2.38321764,73.215497495,66.473634695
-0.4039,0.2638,0.7966,0.3639,-0.1182,0.3756,0.6301,0.6691,1.2328172944,72.2768539912,67.9100679968
-0.4105,0.2601,0.7982,0.3556,-0.1505,0.3447,0.6857,0.623,0.55900831,73.4022404504,68.9130957112
-0.4143,0.2572,0.7996,0.3502,-0.1488,0.3466,0.7147,0.5889,-1.6789697532,73.6761472886,70.3821570268
-0.4172,0.2512,0.804,0.3408,-0.145,0.3538,0.716,0.5839,-1.9210648882,72.4729405826,71.4427120616
-0.418,0.251,0.8047,0.3383,-0.1462,0.3578,0.7119,0.5862,-3.2255689956,73.0223783944,70.992734387
-0.4192,0.2521,0.8045,0.3368,-0.1492,0.357,0.7105,0.5877,-2.37713018,71.780372924,72.152129976
-0.4213,0.2518,0.805,0.3331,-0.1515,0.3601,0.7012,0.5963,-2.1526480436,71.5595639618,72.594210554
-0.4213,0.2517,0.8054,0.3322,-0.1546,0.359,0.7031,0.5938,-1.98632677,71.540819317,72.328720146
-0.4223,0.2491,0.8074,0.3278,-0.1557,0.3574,0.7062,0.5909,-3.107512289,71.8552890428,71.6249741436
-0.4226,0.2484,0.8081,0.3262,-0.1557,0.3555,0.7073,0.5906,-2.8768158012,71.4920299016,71.8194845524
-0.4191,0.2452,0.8124,0.3226,-0.1552,0.3479,0.7116,0.5902,-4.5451008276,71.7520073936,70.648553194
-0.4162,0.2434,0.815,0.3211,-0.1545,0.3464,0.7118,0.591,-5.3802996408,70.9834811936,70.1293966056
-0.4149,0.2426,0.8164,0.3198,-0.1541,0.3447,0.7114,0.5926,-3.7360221598,70.7858696486,70.7444148754
-0.413,0.2385,0.8202,0.3156,-0.1542,0.3377,0.7138,0.5937,-5.202090231,70.5104374586,69.4940714378
-0.414,0.2357,0.8211,0.3142,-0.1567,0.3353,0.7147,0.5933,-4.6986314112,71.0589439524,68.7470565236
-0.4134,0.2347,0.8218,0.3137,-0.1574,0.3353,0.7138,0.5942,-3.97877558,70.7319099604,70.1952860272
-0.41,0.2366,0.8219,0.3165,-0.1582,0.3386,0.7095,0.5973,-4.0035612,69.9955346068,69.8313773424
-0.4095,0.2373,0.8219,0.3167,-0.1581,0.3404,0.7091,0.5968,-2.622340119,69.9183065786,71.7435516028
-0.4069,0.2409,0.8201,0.3218,-0.1566,0.3455,0.7043,0.5999,-2.7501819312,70.3718354004,71.8937892532
-0.4017,0.252,0.8145,0.3341,-0.149,0.3565,0.696,0.6051,-0.991387892,68.7675809504,73.944149788
-0.4002,0.2548,0.8128,0.3377,-0.1405,0.3644,0.6924,0.6065,0.939975488,68.623783328,75.78245104
-0.3978,0.2589,0.8092,0.3462,-0.1402,0.3676,0.6945,0.6023,-0.1719678268,69.6766124356,74.218896436
-0.3918,0.2647,0.8048,0.3585,-0.1373,0.374,0.6986,0.5942,1.7949241808,68.3129353344,76.178344188
-0.3879,0.2667,0.8032,0.3649,-0.1296,0.381,0.6893,0.6022,1.7786501536,67.7301758052,76.0901951604
-0.3822,0.2678,0.8018,0.3731,-0.1226,0.3838,0.6853,0.6066,1.817274196,68.6683781688,74.4795056992
-0.3768,0.2664,0.802,0.3791,-0.0762,0.4188,0.6011,0.6762,2.1682538692,69.41100249,74.3933719752
-0.3742,0.266,0.801,0.3841,-0.0582,0.4232,0.5529,0.7153,2.9935961816,70.0614613352,71.6609698552
-0.3701,0.2666,0.7993,0.3911,-0.0567,0.4303,0.5527,0.7113,3.9797174378,70.673650492,71.0230894764
-0.3654,0.2642,0.8003,0.3949,-0.072,0.4324,0.5775,0.6886,4.1155389,70.30332362,70.21283921
-0.3634,0.2628,0.8001,0.3983,-0.0787,0.4276,0.6011,0.6705,4.7306411488,71.3136255404,67.2773752804
-0.3628,0.2623,0.799,0.4012,-0.0834,0.4254,0.6089,0.6642,5.1697409132,71.779849867,66.7614826674
-0.3588,0.2584,0.7993,0.4067,-0.1046,0.4103,0.625,0.6558,5.2932206786,71.548226853,65.2779775072
-0.3576,0.2536,0.8018,0.4059,-0.1028,0.4038,0.6408,0.6446,5.329551198,71.9486166708,62.7998713678
-0.3576,0.2536,0.8018,0.4059,-0.1028,0.4038,0.6408,0.6446,5.907526136,72.1012995744,62.3201919504
-0.3545,0.2518,0.8016,0.4101,-0.0937,0.4011,0.6431,0.6455,5.601317932,72.0924474752,61.110954772
-0.3544,0.252,0.8005,0.4121,-0.0855,0.4007,0.643,0.6469,5.8653202788,72.2187708192,59.9997226152
