S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
0.0189,0.0054,0.9187,0.3943,-0.174,-0.0095,0.7177,0.674,-0.1856,-0.0883,-0.8143,-0.5426,45.3597507896,91.5758586846,-20.9603588282
0.0084,0.001,0.9185,0.3951,-0.1804,-0.0225,0.7078,0.6826,-0.1845,-0.1035,-0.8166,-0.5369,43.695677919,91.2118171718,-19.0044883226
0.0084,0.001,0.9185,0.3951,-0.1804,-0.0225,0.7078,0.6826,-0.1845,-0.1035,-0.8166,-0.5369,44.371308615,91.7947907546,-19.3642556702
-0.0051,-0.0101,0.9191,0.3936,-0.1885,-0.046,0.7011,0.686,-0.1843,-0.1318,-0.8216,-0.523,37.942730898,93.3956495234,-16.6012164534
-0.0092,-0.0167,0.9171,0.3981,-0.1959,-0.0678,0.6947,0.6887,-0.1889,-0.1503,-0.8276,-0.5065,38.1147100058,93.205563092,-17.0434237154
-0.0092,-0.0167,0.9171,0.3981,-0.1959,-0.0678,0.6947,0.6887,-0.1889,-0.1503,-0.8276,-0.5065,33.2027654752,93.632681024,-14.1604576096
-0.0136,-0.0236,0.9146,0.4034,-0.2022,-0.0866,0.6875,0.692,-0.1889,-0.1691,-0.8317,-0.4937,30.6998088448,93.7898137304,-11.846636204
-0.0112,-0.0295,0.9113,0.4102,-0.2026,-0.1048,0.6793,0.6973,-0.1926,-0.1766,-0.8302,-0.4924,31.0221367736,94.177265802,-13.9158975932
-0.0112,-0.0295,0.9113,0.4102,-0.2026,-0.1048,0.6793,0.6973,-0.1926,-0.1766,-0.8302,-0.4924,27.6074783136,93.892605144,-10.5757435272
-0.0147,-0.0342,0.913,0.4061,-0.204,-0.1159,0.6777,0.6967,-0.1945,-0.1837,-0.835,-0.4807,25.9632835376,94.0533853012,-10.1457327556
-0.0161,-0.0349,0.9137,0.4044,-0.2041,-0.1222,0.675,0.6983,-0.1942,-0.1917,-0.8382,-0.472,26.624948918,94.046013696,-11.31986503
-0.0161,-0.0349,0.9137,0.4044,-0.2041,-0.1222,0.675,0.6983,-0.1942,-0.1917,-0.8382,-0.472,25.5724801204,93.9672368268,-11.096711396
-0.0105,-0.0319,0.9141,0.4039,-0.2019,-0.1143,0.6772,0.6981,-0.1962,-0.1907,-0.8397,-0.4689,25.624914442,94.2649894124,-10.522452522
0.0118,-0.0149,0.9124,0.4087,-0.1832,-0.067,0.6931,0.6939,-0.2006,-0.1628,-0.8361,-0.4837,25.4798906846,94.0123233988,-10.3558469912
0.0118,-0.0149,0.9124,0.4087,-0.1832,-0.067,0.6931,0.6939,-0.2006,-0.1628,-0.8361,-0.4837,29.992100689,93.913892982,-13.290469814
0.0283,-0.0032,0.913,0.4068,-0.1608,-0.0346,0.7073,0.6874,-0.2034,-0.1321,-0.8333,-0.4965,37.03915778,93.0757380238,-15.9127282206
0.0302,-0.0031,0.9119,0.4092,-0.1562,-0.0299,0.7082,0.6878,-0.2027,-0.122,-0.8317,-0.5021,37.200743899,93.4413226812,-15.5329691078
0.0302,-0.0031,0.9119,0.4092,-0.1562,-0.0299,0.7082,0.6878,-0.2027,-0.122,-0.8317,-0.5021,38.8017599054,93.0147180188,-15.9199957958
0.0265,-0.0072,0.911,0.4114,-0.1632,-0.0374,0.7049,0.6891,-0.2043,-0.1225,-0.8287,-0.5063,38.8326477662,92.9794700384,-16.1024998164
0.0134,-0.0164,0.9129,0.4074,-0.1757,-0.0584,0.7003,0.6893,-0.2035,-0.1352,-0.8295,-0.502,39.4430183552,92.9937022526,-16.481934782
0.0134,-0.0164,0.9129,0.4074,-0.1757,-0.0584,0.7003,0.6893,-0.2035,-0.1352,-0.8295,-0.502,36.7523701538,93.5533923854,-15.784845578
0.0024,-0.0265,0.914,0.4046,-0.1894,-0.0894,0.6927,0.69,-0.2066,-0.1578,-0.8336,-0.4873,31.7797930472,94.281365472,-14.3063004296
-0.0039,-0.0354,0.9139,0.4042,-0.198,-0.1149,0.6834,0.6931,-0.2086,-0.1693,-0.8371,-0.4763,32.2089956156,94.0467578114,-14.4493668314
-0.0045,-0.0387,0.9129,0.4063,-0.199,-0.1251,0.679,0.6953,-0.2151,-0.1796,-0.8416,-0.4616,25.91756883,94.649234079,-10.037940309
0.0363,-0.0067,0.9128,0.4066,-0.1561,-0.0385,0.7122,0.6832,-0.2446,-0.0366,-0.8097,-0.5321,38.2085231332,92.6675104984,-17.378258372
0.0371,-0.0041,0.9145,0.4027,-0.1552,-0.0333,0.7154,0.6803,-0.2683,0.0236,-0.7796,-0.5654,38.079161856,93.2532184608,-16.3913968632
0.0383,-0.0023,0.9155,0.4003,-0.1553,-0.0267,0.7191,0.6767,-0.2782,0.0509,-0.764,-0.5797,41.373083472,91.886841512,-19.02789374
0.0387,0,0.9167,0.3975,-0.1566,-0.0212,0.7224,0.6731,-0.2915,0.0838,-0.7546,-0.5817,43.4799408388,91.1750817024,-19.5334075
0.0375,0.0003,0.9174,0.3959,-0.1586,-0.021,0.7219,0.673,-0.2923,0.0826,-0.7564,-0.5792,43.5416875768,91.4370521076,-19.2813016496
0.0361,0.0004,0.917,0.3971,-0.1614,-0.0231,0.7197,0.6748,-0.292,0.0825,-0.7515,-0.5857,44.277804528,90.8688132778,-19.9794050174
0.031,-0.0023,0.9174,0.3966,-0.1671,-0.0408,0.7143,0.6782,-0.2961,0.0842,-0.751,-0.5839,44.2792973142,91.0652468498,-19.3036527264
0.0201,-0.0109,0.9179,0.3959,-0.1704,-0.0549,0.7109,0.68,-0.2967,0.0739,-0.7534,-0.582,44.1203633452,91.042024174,-19.3467549064
0.012,-0.022,0.9169,0.3982,-0.1805,-0.0857,0.7019,0.6836,-0.2854,0.0072,-0.7828,-0.5527,37.5412576854,93.568268545,-16.4947989948
0.0089,-0.0266,0.9166,0.3985,-0.188,-0.1047,0.6963,0.6846,-0.2784,-0.026,-0.7966,-0.5358,31.86453507,94.6697425486,-13.4179287596
0.0043,-0.0335,0.9158,0.4002,-0.192,-0.1159,0.6912,0.6868,-0.2697,-0.048,-0.8026,-0.5299,31.990737412,94.271921683,-14.3950466546
0.0043,-0.0387,0.9134,0.405,-0.1956,-0.1347,0.6813,0.6923,-0.257,-0.0975,-0.8182,-0.5048,28.5382811304,94.9227157742,-11.5259885522
0.0034,-0.041,0.912,0.408,-0.1981,-0.1437,0.6779,0.6931,-0.2519,-0.1143,-0.819,-0.5025,26.8169192656,94.8583678544,-9.7896582192
0.0013,-0.044,0.912,0.4076,-0.1996,-0.1472,0.6786,0.6913,-0.2485,-0.1192,-0.8188,-0.5034,26.9407547188,94.4877198064,-10.6690806608
-0.001,-0.0463,0.9127,0.4059,-0.2022,-0.1508,0.6781,0.6902,-0.2426,-0.1227,-0.8195,-0.5043,25.6354007374,94.701511953,-9.8204475856
0.007,-0.0435,0.9099,0.4124,-0.1958,-0.1373,0.6744,0.6984,-0.2362,-0.1319,-0.8172,-0.5087,25.816669986,94.623525445,-10.147917471
0.0198,-0.0344,0.9074,0.4181,-0.1891,-0.123,0.6743,0.703,-0.2372,-0.1337,-0.8162,-0.5095,25.9907930524,94.621035038,-10.2890096888
0.0396,-0.0198,0.9047,0.4236,-0.1691,-0.0825,0.686,0.7027,-0.2405,-0.0965,-0.8078,-0.5293,30.3104318884,94.3928196024,-10.2641585204
0.0406,-0.0164,0.9061,0.4206,-0.1631,-0.0673,0.6937,0.6982,-0.2514,-0.0468,-0.7975,-0.5463,35.7832019336,93.7434823816,-13.8645631
0.0407,-0.0137,0.9086,0.4152,-0.161,-0.0604,0.6981,0.6949,-0.2652,-0.0059,-0.7839,-0.5612,35.144444553,93.951950883,-13.4827831008
0.0396,-0.0139,0.9093,0.4138,-0.1608,-0.0499,0.7061,0.6876,-0.2834,0.0634,-0.7572,-0.585,37.9133933058,93.1602330638,-16.8320075804
0.0407,-0.0128,0.9097,0.4128,-0.1605,-0.0457,0.7081,0.686,-0.2863,0.0819,-0.7539,-0.5855,39.671950997,92.7512033288,-17.9273168802
0.0405,-0.0122,0.9086,0.4154,-0.1614,-0.043,0.7081,0.686,-0.2866,0.0869,-0.754,-0.5845,39.8142676802,92.9824941048,-17.2259057014
0.04,-0.0124,0.9083,0.4161,-0.1643,-0.0434,0.7062,0.6872,-0.2893,0.0894,-0.7534,-0.5836,40.770111673,92.4451238152,-17.8071224726
0.0393,-0.0134,0.9089,0.4147,-0.1655,-0.0444,0.7063,0.6867,-0.2916,0.0905,-0.7514,-0.5848,40.4305371838,92.5099580902,-17.8876222338
0.0348,-0.0162,0.909,0.4149,-0.1692,-0.0507,0.7045,0.6872,-0.2935,0.0891,-0.751,-0.5845,40.4982374094,92.633049607,-18.1658979382
0.0243,-0.0218,0.9101,0.4129,-0.1771,-0.0686,0.6989,0.6895,-0.2947,0.0687,-0.756,-0.5802,39.3418335882,92.709514982,-18.3408914308
0.0177,-0.027,0.91,0.4132,-0.1833,-0.0809,0.6952,0.6902,-0.2898,0.0451,-0.7603,-0.5795,36.7335909654,93.9486811912,-16.8609613482
